"r","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_nonparam_var_R.s","ipw_nonparam_normci_lb_R.s","ipw_nonparam_normci_ub_R.s","ipw_nonparam_quantci_lb_R.s","ipw_nonparam_quantci_ub_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","ipw_param_var_R.s","ipw_param_normci_lb_R.s","ipw_param_normci_ub_R.s","ipw_param_quantci_lb_R.s","ipw_param_quantci_ub_R.s"
1,11.8590775444359,5.82462980434264,0.50884630085959,0.0052779226635176,0.366453647593457,0.651238954125723,0.413585749664879,0.705251003717541,11.3017965458698,5.94848203052773,0.473669340411051,0.0120907097011859,0.258152124421062,0.689186556401041,0.260713788252504,0.64220804329632
2,11.8860807432658,5.79112471828245,0.512780971005647,0.00360876674722841,0.395037867869401,0.630524074141893,0.484502425451875,0.727782620228884,11.8495000186914,5.86761214055465,0.504821964530225,0.00964779577086327,0.312304504975647,0.697339424084802,0.288783286083443,0.668215622084184
3,10.6441104448402,6.00746390314,0.435606767303682,0.00446259859398457,0.304673506599417,0.566540028007947,0.454327293057022,0.707847521003804,11.5085686043972,5.75223650367382,0.500177936856891,0.0086891704795933,0.31747512539958,0.682880748314202,0.312757746549712,0.670931354880062
4,12.3038092662094,5.54697941487816,0.549165685613144,0.0037880788764132,0.428532838462672,0.669798532763615,0.497796696705215,0.726769261105975,11.8033038416046,5.61506342070335,0.524280362849659,0.00753543956104556,0.354138819957534,0.694421905741783,0.344683984397387,0.685641001480968
5,11.2932255296515,6.06434224484531,0.463010613847852,0.00433156783396685,0.334013904622512,0.592007323073193,0.482939042615379,0.732486766554044,12.2241686510044,5.92932407925741,0.514950730103825,0.00664556794455371,0.355170838328303,0.674730621879347,0.38157600438591,0.676427467129492
6,11.9487927080094,5.86781305184876,0.508920005958803,0.00411709235576705,0.383157443986193,0.634682567931413,0.47066053855934,0.719067917154133,12.0178478925336,5.92187575991735,0.507243242478008,0.00791288139862428,0.332892661231615,0.681593823724401,0.348586491060379,0.670608306822493
7,11.9335646809604,6.18973093505968,0.481317519069958,0.0063313783587181,0.325360399633712,0.637274638506204,0.367875293943869,0.685313683492537,12.5679066661173,6.19941007463094,0.506726916476523,0.00855525720374675,0.325437435055472,0.688016397897574,0.288482251696,0.672661049079731
8,10.8334365733329,5.96978790375809,0.448947906479365,0.0035439621361969,0.332266781431592,0.565629031527138,0.472476959417259,0.709340298940858,12.4582791941621,6.00062495597357,0.518342392038748,0.00600639929210461,0.366440504227736,0.670244279849759,0.383737411384791,0.682831861761168
9,10.734715380874,5.8899470857164,0.451317815448512,0.00607324669004379,0.29857298088946,0.604062650007564,0.426531629858595,0.705951183634962,11.4683988250604,5.90240560482397,0.485333070914292,0.00818530135188556,0.308006666582045,0.662659475246539,0.30909669525361,0.665681168370431
10,11.2252698669129,6.08576287967109,0.457851530357483,0.00447569512632895,0.326726283370851,0.588976777344115,0.458998596673241,0.717248336890639,12.5788278303739,6.04624613139392,0.519331513800184,0.00687757690339677,0.356786444874397,0.681876582725972,0.371734859272649,0.670292913300219
