"r","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_nonparam_var_R.s","ipw_nonparam_normci_lb_R.s","ipw_nonparam_normci_ub_R.s","ipw_nonparam_quantci_lb_R.s","ipw_nonparam_quantci_ub_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","ipw_param_var_R.s","ipw_param_normci_lb_R.s","ipw_param_normci_ub_R.s","ipw_param_quantci_lb_R.s","ipw_param_quantci_ub_R.s"
11,11.3728590470971,6.2772366037549,0.448051138437601,0.00347935860453755,0.332438405509123,0.563663871366078,0.50523530162715,0.726381708155049,11.996645248761,6.19844838813314,0.483318189410217,0.00792331239764005,0.308852728912232,0.657783649908202,0.332688978865603,0.668511326374297
12,10.3409385520458,6.05273739809908,0.414682007089031,0.00734193046450347,0.24673927854017,0.582624735637893,0.327788416113861,0.670321190836874,10.8879427106772,6.0958099706617,0.440132067862198,0.0107802189266861,0.236629514982001,0.643634620742395,0.209148116323109,0.613195882631767
13,13.1261977961561,5.84938654572901,0.554373121861537,0.00241671805147825,0.458019273642803,0.650726970080271,0.556622382565753,0.744900904424955,12.5481333940687,5.93621333884577,0.526924590899574,0.00595247629660382,0.37570609685525,0.678143084943898,0.380820519092591,0.689919079333663
14,11.881555393122,5.93060940901859,0.500855804413309,0.0030627593799155,0.392385087471438,0.609326521355179,0.516881741955761,0.734885812060699,12.8340850827626,5.88740052017211,0.541268389432803,0.00664726978708313,0.381468040202714,0.701068738662893,0.396243070604614,0.693239738963877
15,11.2100709075829,5.74628159937046,0.487400066712916,0.0056479401630905,0.340100620242373,0.634699513183459,0.414119036574543,0.69912125452585,11.417856383643,5.86604784331547,0.486239128763344,0.0106516713681719,0.283953536770317,0.68852472075637,0.247009071211432,0.656740082640355
16,12.08017671802,6.32439922531206,0.476464676557424,0.00492825075951057,0.338869734362096,0.614059618752753,0.428031665152122,0.71453533413362,12.3628488241955,6.13033281074864,0.504132672175777,0.0079266293003348,0.329630697630598,0.678634646720956,0.339539773259418,0.675580150742717
17,12.0244011148936,5.84427683436023,0.513965246292273,0.00448961564651122,0.382636241622179,0.645294250962367,0.465309923298572,0.710155981278694,12.242429464515,5.90875606938227,0.517354289317413,0.00735073009901212,0.349310947442869,0.685397631191957,0.372909308763667,0.679881650603877
18,11.0093440400052,5.91691698838989,0.462554992659937,0.00484038989331496,0.326192087828165,0.598917897491708,0.437190295422105,0.715108241666226,11.5338240022294,5.85591658732115,0.492283167647673,0.00840225941713673,0.312622042812965,0.671944292482381,0.344237612174953,0.681156837039451
19,12.6157189180095,6.06966758939598,0.518880562507518,0.00336475366687948,0.405187828849275,0.632573296165761,0.500001460243582,0.722710996717767,12.3561879920039,5.98601402536126,0.515545245084082,0.00743116555030339,0.346584996569689,0.684505493598475,0.372960482750616,0.668465509309246
20,11.6754571496063,5.92002354637925,0.492951456159566,0.00602941221437832,0.340758848051433,0.645144064267699,0.377646397878671,0.693056496745997,11.5103839753383,5.91016182679575,0.486536518724428,0.0113641485120732,0.277595108458343,0.695477928990512,0.253438431107395,0.6513564065923
21,11.996615017679,5.85238613630308,0.512163545493575,0.00507992950821244,0.372467242039443,0.651859848947707,0.43568085031492,0.719798449505705,13.0597498743703,5.77292048407663,0.557960869112357,0.00562054317398542,0.41101911651228,0.704902621712435,0.40855206234689,0.700610305569428
22,12.1484152745163,6.58837130572261,0.457676482335683,0.0062979371816913,0.302131776616763,0.613221188054602,0.349098948517323,0.662311420574076,12.2673940539807,6.50053883718126,0.47009619087993,0.011138972333389,0.263235184124314,0.676957197635546,0.232678015710827,0.649293996834198
23,12.8365812492435,5.79230252141973,0.548765951856451,0.00258467749925726,0.449120093532351,0.648411810180552,0.542958578722187,0.742138726714357,11.8202660167186,5.70247877067938,0.517567645041678,0.00717943537933732,0.351493809193696,0.683641480889659,0.350216185147886,0.674747011200041
24,11.888635044488,6.04532282424056,0.491504045534361,0.00487590208993427,0.354641832090724,0.628366258977997,0.437465050914343,0.708406045584781,12.4668592527624,5.9788443979635,0.520420959542099,0.00698605388355327,0.356599029999506,0.684242889084692,0.362324628158993,0.680351964500129
25,13.2367639704418,6.0701302920192,0.541418861469915,0.00336877699866607,0.427658175299008,0.655179547640822,0.499716925138776,0.732972983821748,12.8153019507076,6.07538741304457,0.52592709587236,0.00707833340165378,0.361026745370024,0.690827446374696,0.344198633521456,0.675718774544326
26,12.9179060568028,5.80049269386545,0.550972683315746,0.00363176560058101,0.432854984679208,0.669090381952284,0.493396339623816,0.724929142310596,12.2222461630613,6.02312790614168,0.507199591156568,0.00799763029347753,0.331917827885476,0.68248135442766,0.32514656052363,0.670124260444598
27,12.2122867079462,5.90808263762526,0.516218151529226,0.00361638906881116,0.398350767377609,0.634085535680844,0.491355060847952,0.722460812057566,12.7843249938689,5.96879347528132,0.533116259314133,0.00562062891343727,0.386173385945396,0.680059132682869,0.407616822043326,0.683092646650955
28,12.9728909097892,5.97816911101334,0.539179882681179,0.00293040438311811,0.433078791837652,0.645280973524707,0.516269841668253,0.731518754661811,11.2881625439744,6.15987137749234,0.454306991638737,0.0125573858942019,0.234669896294699,0.673944086982775,0.226973389514809,0.642358636414218
29,11.9480443552726,5.69184231375318,0.52361724274639,0.00293212674666655,0.417484975692519,0.629749509800261,0.536854038626898,0.738870953160612,12.0171229888705,5.664259761616,0.528650928607297,0.00630898392668648,0.372969867932729,0.684331989281866,0.387075806913368,0.684283503603325
30,12.9400713816131,5.78868310356097,0.55265446898645,0.00249483536307271,0.454755748204306,0.650553189768594,0.544976350600926,0.738753009888672,12.0579111054681,5.78643741686379,0.520112781869845,0.0086499245626427,0.337823039427084,0.702402524312606,0.307443415749956,0.675755145734389
31,9.64075098257504,6.39573190777389,0.336594014373599,0.0120933594448632,0.121053183802251,0.552134844944946,0.27144339851387,0.633954830340505,11.2056076282151,6.18315956115296,0.448208453633154,0.0122199156368037,0.231542748201157,0.664874159065152,0.21526361614845,0.623960598765997
32,12.1938512964118,5.59633952724209,0.541052339313922,0.00308850856434313,0.432126610026574,0.64997806860127,0.52552568613312,0.738384170378348,11.2659153263325,5.84281525221617,0.481372344548035,0.0115974413164068,0.270297167037489,0.692447522058581,0.27129160927725,0.670881534427349
33,11.8212891056168,5.91441103709527,0.499681381256035,0.00500028274099816,0.361084533608556,0.638278228903514,0.423833769752304,0.708971658785962,11.9841437114555,5.92192650264538,0.505853180233087,0.00701091580068282,0.341740005442326,0.669966355023849,0.349817753172802,0.676253468102819
34,11.4700423160735,6.14312715279988,0.464419835296402,0.00557051713892937,0.318133476940911,0.610706193651893,0.414250172296875,0.691591337513431,11.4824861545476,6.12636828215233,0.466459771891301,0.0104678981695591,0.265926788050292,0.666992755732309,0.230020246627182,0.644627001958539
35,12.9292477945409,6.25284862855703,0.51637955061878,0.00322709181833345,0.405036854723136,0.627722246514424,0.498264088120648,0.718486474884809,12.401121512947,6.24622194667171,0.496317978970649,0.008316224495453,0.317579040790598,0.6750569171507,0.310907596651591,0.661932249072701
36,10.9012021867734,6.05143259763764,0.44488392252921,0.0055311901317822,0.299114858560704,0.590652986497717,0.401107630031102,0.697002663282502,12.3921494594838,6.03944849588161,0.512639149840179,0.00792507877341699,0.338154243283885,0.687124056396473,0.325967909816044,0.678977774162956
37,11.5691997749633,6.21001092562359,0.463229000586321,0.00383069195464684,0.341919535939199,0.584538465233442,0.479767043659482,0.714918080854302,12.5967679039205,6.10547523973958,0.515314143571752,0.00628191471984724,0.359967423014911,0.670660864128593,0.36424914607346,0.683440247338666
38,10.9462374991237,6.27599367481366,0.426652886408133,0.00532550667504318,0.283619790787414,0.569685982028853,0.422563650986042,0.687167391159622,12.735125205366,6.10897678320241,0.520304929500939,0.0065396394244168,0.36180357678482,0.678806282217058,0.38530433586258,0.6812701939457
39,11.7240484989243,6.0907492690387,0.480490952455757,0.00498588676486731,0.342093761025026,0.618888143886487,0.431403080600186,0.70376339454706,11.7291339939983,6.014631110006,0.487205865916132,0.00830145183275067,0.308625751231728,0.665785980600537,0.328878494564889,0.669574427426447
40,11.1000601679055,5.95231805759655,0.463758036662994,0.00672341688403746,0.303045005760959,0.624471067565028,0.379754620582205,0.681902185808546,11.0329229146728,5.99403653062353,0.456713639986375,0.0133668710771564,0.230107876754272,0.683319403218478,0.165463231102406,0.643809872761743
41,12.1080418901464,6.24081968898569,0.484572340795707,0.00356700605020334,0.367512482422048,0.601632199169366,0.493375240168597,0.721887561905745,12.5830943870433,6.2735021122656,0.501434073424309,0.00687820906803866,0.338881534361466,0.663986612487153,0.322460580639675,0.66467104701344
42,10.7915301982529,6.18707652592414,0.426672917347182,0.00906677292014386,0.240042494184117,0.613303340510247,0.304008449403891,0.645242761329427,12.3254645548242,6.14636933039031,0.501327572437455,0.00834297504019073,0.322301393026742,0.680353751848168,0.315266706587956,0.66431725598383
43,12.4782133939719,5.78941068822806,0.536038493216916,0.00304637109944658,0.4278583692771,0.644218617156732,0.517380817087877,0.729289079051237,11.8685839259594,5.81753127843833,0.509837794067915,0.00805127782631121,0.333969124608124,0.685706463527706,0.329527154517462,0.667197059806215
44,11.9185701176623,5.82802610430414,0.511012978338106,0.0040970563485822,0.385556804043202,0.63646915263301,0.452984343819471,0.708837826620886,11.9534726172162,5.86102691209881,0.509679981727039,0.00780758606171007,0.336493311874347,0.682866651579731,0.34213176059678,0.677191229380517
45,10.7772189426512,6.03725675066877,0.439813111082292,0.00640298056410007,0.282976603422096,0.596649618742489,0.392251020451552,0.678440223773177,11.6702483490545,5.69937325215389,0.511632222238384,0.00887483189220985,0.326987822926861,0.696276621549908,0.315662536789211,0.670197998412693
46,13.0925559170706,6.12261056272152,0.532359410835999,0.00281318557937162,0.428402045913094,0.636316775758904,0.537320160353443,0.738792214453314,11.8161588419022,6.13508213759335,0.480788789345211,0.00826483246541368,0.302602986321701,0.658974592368721,0.293733398274406,0.648736073697783
47,12.0799150904384,5.82107042620919,0.518119921983828,0.00394883519786733,0.394953996110934,0.641285847856721,0.489168255342661,0.72384246458684,12.3338073556052,5.71985846321515,0.536245516222067,0.00708241464026351,0.371297633295258,0.701193399148875,0.366776093352585,0.684410411261237
48,12.1842499188724,5.97026962546071,0.510001053391619,0.00344866156147143,0.394899453687059,0.625102653096178,0.497904549924618,0.725118342200705,12.3820965311182,6.00831438623758,0.5147579110583,0.00701587443010728,0.350586710140782,0.678929111975819,0.360851748221686,0.67693505204426
49,11.0356410685496,6.01233634774957,0.45518920827499,0.00868898362866538,0.272488361238418,0.637890055311562,0.309798832772355,0.669026847821976,10.789967866613,5.96294538156286,0.447362081585636,0.0130827289529431,0.223177756652723,0.671546406518549,0.228554264034052,0.644015365734886
50,9.53100009356632,6.09455694768749,0.360554308272279,0.0111268858081144,0.15380556094729,0.567303055597268,0.269275406466642,0.662642354404296,11.1351762966107,5.75319976631794,0.483331057087164,0.00907886747751173,0.296576198243788,0.670085915930539,0.300805132715208,0.667394497643646
