"r","ipw_nonparam_YZ_only","ipw_param_YZ_only"
1,0.459676692961702,0.468382442014598
2,0.490854452481187,0.486377693386319
3,0.503884669691216,0.494897707380245
4,0.528614406377045,0.525981544866953
5,0.450485508719898,0.459057393255067
6,0.500654723602753,0.49590587255022
7,0.494316065459341,0.495302906735943
8,0.500126524758776,0.492775707680892
9,0.494798702061802,0.49863489042245
10,0.506807630621844,0.50213835852838
11,0.509504885296076,0.507579702137279
12,0.504832263586073,0.498201362423299
13,0.503632775356224,0.491729061903455
14,0.506055052616707,0.518159912415523
15,0.514723251771865,0.512642685511892
16,0.545775981174369,0.549438654728078
17,0.510147682358568,0.510793384290427
18,0.451608750553664,0.452237191714802
19,0.492254608921112,0.513144579228313
20,0.512729169235326,0.512645571641482
21,0.496341920886825,0.501760170463648
22,0.450648377180125,0.444235216277412
23,0.504516528348185,0.513115751441909
24,0.484807515061592,0.484550185182705
25,0.527812883792916,0.525989895036048
26,0.450005317842719,0.459148347156361
27,0.490834451296908,0.487942273934002
28,0.487593947344688,0.487141836606022
29,0.469583812840802,0.47736937530987
30,0.503222834962118,0.513717937640452
31,0.467528698104901,0.447504418681751
32,0.519389518789922,0.516291317766561
33,0.516479709961993,0.511099067713895
34,0.505416162209117,0.504664591619271
35,0.509701010204612,0.517755104752495
36,0.512748986858492,0.516885204741298
37,0.507364504196327,0.492309003064249
38,0.506384298138732,0.50388488044515
39,0.509904353640367,0.517863154235103
40,0.504994902662344,0.503632800938325
41,0.49653804355561,0.496482272017886
42,0.477389441530586,0.483684613085421
43,0.518116070887361,0.503167765711586
44,0.518227047047991,0.514882182947691
45,0.527780623061842,0.5489921432677
46,0.477584725436639,0.473819733657533
47,0.494131922035075,0.484006924380188
48,0.495115476800656,0.4936434091654
49,0.453561806478603,0.456029994286108
50,0.472432183681709,0.483049896359871
