"r","ipw_nonparam_YZ_only","ipw_param_YZ_only"
1,0.492736281655449,0.498653183879499
2,0.506912171876785,0.509137475836657
3,0.512530707376299,0.509640819741957
4,0.515916085540003,0.502304719339711
5,0.507953114368588,0.512619752914544
6,0.476786637765714,0.482639393159759
7,0.531660543764753,0.523566115728771
8,0.519627089769139,0.534184969515897
9,0.508554954916242,0.49721983648781
10,0.509956148167024,0.513537677950605
11,0.473173020239504,0.478535734725422
12,0.541685490239161,0.53767355146032
13,0.500920486268409,0.517007046571284
14,0.461326284498071,0.468092605422089
15,0.511663980830779,0.507583676318926
16,0.527566612738392,0.520266699194468
17,0.527531487934577,0.518643569996231
18,0.532838904238269,0.530599480423294
19,0.514784936529076,0.529031378894354
20,0.489819164782023,0.493628292662141
21,0.46328311910742,0.464589855721782
22,0.538452435159787,0.530667364271315
23,0.484023647562297,0.493718029766065
24,0.557622931577719,0.559051253411644
25,0.51622218592238,0.514854850524277
26,0.520909302469162,0.527124902037536
27,0.548959258950192,0.5623260514406
28,0.473248693131624,0.486327920571562
29,0.476491552014834,0.483715851313248
30,0.470477776165294,0.462961336888592
31,0.495400231555739,0.515709276826922
32,0.483225037439012,0.474930283336166
33,0.473896020432196,0.480877167684688
34,0.497127478733837,0.505618225681115
35,0.512336441651422,0.509716882001185
36,0.513677330920173,0.51639819575729
37,0.517271111682976,0.514932765600759
38,0.481486263395019,0.475434567212433
39,0.503731326978287,0.510821020729446
40,0.518414406477469,0.514497050382762
41,0.477938290021035,0.475885502846045
42,0.459533638101738,0.456958420718381
43,0.436500495180645,0.441879177442791
44,0.472318739940737,0.47356729406421
45,0.494543987333255,0.496376624923841
46,0.481211083178678,0.478958946749873
47,0.469654556320773,0.469445465120017
48,0.454559224111073,0.456671892756333
49,0.486918284787047,0.480777557572104
50,0.536963673489935,0.535082789542525
