"r","gs_nonparam","gs_param","cc_nonparam","cc_param","ipw_nonparam_Yonly","ipw_param_Yonly","ipw_nonparam_Zonly","ipw_param_Zonly","ipw_nonparam_YZ_main","ipw_param_YZ_main","ipw_nonparam_YZ","ipw_param_YZ"
1,0.50477355570868,0.502611688049314,0.528824157704306,0.526243368251567,0.508724289329415,0.498411792913821,0.485717455353747,0.526243368251572,0.506380245456339,0.502375014517568,0.518929497433208,0.514442134793882
2,0.49859943275423,0.496656639054865,0.522134879114572,0.521053165166308,0.495852415641404,0.496028366462771,0.473910021163437,0.521053165166306,0.496602347738099,0.49475178201544,0.493264775030665,0.491326770977487
3,0.470098914528125,0.46737881518921,0.491916862549909,0.487856733443189,0.474093376354295,0.462957728026947,0.455082539393984,0.487856733443198,0.471206946342415,0.467961859742842,0.471370081828698,0.468134013209551
4,0.511677052320425,0.506825205521872,0.554813277686827,0.549599767790844,0.522192416174638,0.527511727829341,0.504664598504891,0.549599767790851,0.526755823612416,0.518977356486999,0.52781131839983,0.520015139563002
5,0.495842043821062,0.497006932102681,0.503782920795462,0.502960575527723,0.482959962837031,0.486407185579958,0.468545979235847,0.502960575527725,0.484404771163185,0.484256952335421,0.483712941431577,0.48351829739422
6,0.506252746898881,0.510774402413643,0.50905451163032,0.516530401088594,0.501238429361882,0.494129218732181,0.484725353799479,0.516530401088589,0.495462258201406,0.503715193491968,0.497125452654014,0.505265317708406
7,0.485006940595243,0.502664333193496,0.482518485675205,0.508304083061474,0.459304248891843,0.490170411216413,0.44627325365301,0.50830408306147,0.461422530660684,0.486359344778053,0.468128618846653,0.493347527517155
8,0.492891398919536,0.496216288391135,0.505554842190103,0.506480153727171,0.485244308466022,0.483510715190366,0.463890099475804,0.506480153727171,0.484157153944174,0.485115382292151,0.486053082065316,0.487049499584879
9,0.510307878277902,0.502337939577684,0.543971715382983,0.528703072210751,0.51775882684627,0.503281619286979,0.495601762132567,0.528703072210756,0.517578454845174,0.503583829423138,0.53017671046468,0.515376359347111
10,0.519645319554481,0.52250997749103,0.528966912513737,0.533850251719723,0.509546738849533,0.513488831511015,0.491109894271752,0.533850251719725,0.508732865428798,0.514709721884921,0.518025661699548,0.523295537866375
11,0.477640262374452,0.475830036936293,0.487389421044248,0.493332622765275,0.469419228211876,0.476254925982838,0.455831253453665,0.49333262276527,0.469991713266694,0.475341765797617,0.462382425340616,0.46710396693113
12,0.498601743667228,0.500741430150417,0.523971239567951,0.526497673775524,0.504364110178722,0.499232394890276,0.485321965981366,0.526497673775506,0.502183725071598,0.503676807573333,0.510951685029926,0.512144415555726
13,0.501050254269235,0.501045571332615,0.530624624779588,0.527406337227872,0.517342761180613,0.504979096598435,0.490329110343218,0.527406337227879,0.512381020943986,0.510727711985437,0.511737063057058,0.510134891705718
14,0.480488772917446,0.480814347738204,0.509727004360415,0.504035197786705,0.484804696235891,0.485288029579745,0.47063383348679,0.504035197786706,0.487247136850202,0.480993088029708,0.485488611625864,0.479129453372667
15,0.489947173552665,0.488634838680891,0.504622790802486,0.497149402458135,0.485262170173159,0.472536942664433,0.465213892585414,0.497149402458121,0.483421203658292,0.475571924824434,0.492599264529273,0.48487014123077
16,0.543516360656822,0.53163112143234,0.588197027128014,0.57310492996351,0.575246085703905,0.558506352283502,0.564435526607521,0.573104929963511,0.575711254479603,0.557729739101386,0.571270429513314,0.553805098201837
17,0.476183269719611,0.487934485795244,0.501727812481499,0.509754799259332,0.477264829026754,0.492074261066185,0.46324118804959,0.509754799259334,0.479196330389485,0.488744987883277,0.482913061513629,0.492441042394565
18,0.527763287308107,0.531232799050488,0.535236577251561,0.536501126954272,0.542152918878489,0.534377988098866,0.540499441938208,0.536501126954272,0.538289846800611,0.539182213145975,0.534462895164193,0.535632466314573
19,0.501895292560064,0.501578189287303,0.549895973613467,0.54787877332801,0.534146368744948,0.527786067146379,0.509905169232938,0.547878773328019,0.533512698429948,0.52856888899199,0.508130651454483,0.50483523110176
20,0.481058156479738,0.485181419171426,0.506900118936764,0.511342823622279,0.482148217282518,0.49023066610107,0.462310996741064,0.511342823622278,0.483471573504815,0.488160036754005,0.490339617835835,0.494622731401826
21,0.460529525726021,0.461184295032677,0.482250830785259,0.485114138469729,0.45913640455115,0.457568999878246,0.440916582371648,0.485114138469726,0.458351962283985,0.459213687516301,0.468262058608487,0.46994927336578
22,0.496990200343421,0.493359661677007,0.498749089916999,0.495204709527191,0.476758659169569,0.45569512876117,0.443163561731053,0.495204709527184,0.470470200303013,0.467312660414628,0.485199488274271,0.482237004759858
23,0.495978548705044,0.495211340587505,0.526934550570909,0.526497737367863,0.498788948456711,0.510476914755802,0.485904236626705,0.526497737367855,0.503343849895663,0.502914142226618,0.504465732784852,0.504068023382831
24,0.517166658231673,0.529551483984458,0.52348293955839,0.536960024363036,0.507914664675556,0.522850294487475,0.496916339826153,0.536960024363026,0.507757675277578,0.5230926257128,0.520239698871105,0.535016900264706
25,0.516115989637476,0.505841173270039,0.54535558127141,0.529665698986264,0.533494426082316,0.505638908076243,0.513182018963363,0.529665698986265,0.529444106891854,0.511875456692105,0.526110254980287,0.508855431143048
26,0.476051931616843,0.484595422644734,0.490989012301682,0.50156270109045,0.461954103318089,0.476082663042407,0.43981588037674,0.501562701090452,0.463180828098803,0.473940801237851,0.473355742093531,0.484725686359899
27,0.527713972523622,0.530644939506251,0.53585364335423,0.537553895291551,0.50649310276322,0.516188929654077,0.488159198074547,0.537553895291552,0.508959744532358,0.511999801422184,0.523284953577466,0.525860146694636
28,0.535080801175698,0.525353544269543,0.567526310910979,0.55714464707652,0.54512283950792,0.538883238451549,0.526316429401582,0.557144647076527,0.54727646000384,0.535900171831029,0.53929581583291,0.528851845250793
29,0.523506297114064,0.517159047198857,0.53337413085507,0.532654037691223,0.522782850091526,0.513582480867917,0.505396244218673,0.532654037691224,0.518649383234391,0.519274500447219,0.521888150522842,0.522177233309366
