"r","gs_nonparam","gs_param","cc_nonparam","cc_param","ipw_nonparam_Yonly","ipw_param_Yonly","ipw_nonparam_Zonly","ipw_param_Zonly","ipw_nonparam_YZ","ipw_param_YZ"
1,0.474321134739454,0.47495252403751,0.510774725713281,0.511377392834457,0.476097367964225,0.482220631581797,0.452964613220171,0.511377392834465,0.474346431437287,0.475213679312631
2,0.478616346701389,0.486827360020519,0.514615100075074,0.512901117757357,0.478772940586145,0.483902812928537,0.453630171814142,0.512901117757354,0.472957049844295,0.467608755726835
3,0.497084023723286,0.503688006196492,0.514733306862128,0.520477405031715,0.480261465890038,0.494116677029358,0.453532408686146,0.520477405031708,0.487927292171388,0.496953698462004
4,0.512527587550301,0.506606777456382,0.518465048975705,0.518134655020613,0.499443979915252,0.489853234038199,0.475195943707774,0.518134655020614,0.505040092487703,0.505450166525838
5,0.483524347141833,0.483804899666058,0.503145430716105,0.500791776371923,0.486208030840149,0.48267738694558,0.471728067716737,0.50079177637192,0.484016315886328,0.479523855629867
6,0.500971588915035,0.503637381667228,0.536970719410662,0.537437796973122,0.50547466861107,0.514256406220455,0.482286687734704,0.537437796973122,0.506661008104932,0.506480320382252
7,0.486774597265108,0.499565805973759,0.49687970246123,0.508589094273104,0.474666807825853,0.488058654856007,0.453866130673535,0.508589094273107,0.472020636076072,0.488534337542128
8,0.480427442541865,0.485007674684184,0.516855032423369,0.512545056931269,0.476998178132312,0.48262566443862,0.451607575180143,0.512545056931265,0.487666135560906,0.484238464668781
9,0.488169420202779,0.493039575087246,0.52699898070073,0.525717928292143,0.512807752714501,0.508853613382005,0.496580656977306,0.525717928292143,0.504400525571303,0.504276354289279
10,0.498742789052998,0.488422970706202,0.522442399927513,0.515204010311039,0.492739528182921,0.490431639284094,0.47032289333402,0.515204010311046,0.48835438706875,0.479548234981316
11,0.476123477674646,0.48053522149332,0.489281784146179,0.490367312591454,0.473008855049694,0.468887178622502,0.459214135529276,0.490367312591455,0.472123342826641,0.472940699643212
12,0.50092229378378,0.514537041277919,0.52816816688309,0.534624228609626,0.506993597050524,0.513550208972736,0.487853898280891,0.534624228609621,0.504502740418965,0.511130904720676
13,0.487069008665671,0.486241021389531,0.487061100799669,0.487048735561796,0.45366573759358,0.468288383790491,0.439671312729657,0.487048735561787,0.466571186419089,0.465868532178239
14,0.501362688128987,0.497952226396156,0.521848441201055,0.519688619231052,0.499898453081136,0.496742132039546,0.482113471505478,0.519688619231039,0.500999788731711,0.496777034365841
