"r","ipw_nonparam_YZ_only","ipw_param_YZ_only"
1,0.484642848690292,0.474212106319552
2,0.491725830854797,0.491853957394775
3,0.533237628135807,0.544054527160139
4,0.469952787149721,0.482547463340426
5,0.465327392082148,0.473772268614506
6,0.503252222835688,0.509978228679106
7,0.495781975478022,0.493706774547641
8,0.527307140063219,0.533080386904834
9,0.483005176059266,0.488922053216868
10,0.517941550820413,0.52110939268836
11,0.495454183798152,0.489627280653723
12,0.499225953537657,0.509964723104084
13,0.474080128167201,0.488640886101151
14,0.530891164552957,0.523752359100104
15,0.53398287132001,0.545667634737986
16,0.493678740098352,0.495830603048388
17,0.473398414287833,0.483103176480703
18,0.481254543164198,0.479788674777656
19,0.506337264458476,0.50456155302199
20,0.492905411875696,0.492160858951232
21,0.504519844825767,0.505591872256611
22,0.531578852198419,0.523525433057854
23,0.513712899959794,0.511450778826138
24,0.501664196507099,0.494762516076763
25,0.530302051014853,0.526174110370889
26,0.514054821108333,0.504915346243843
27,0.473160922355367,0.479612994767714
28,0.501894591398578,0.494081516409469
29,0.457236078427455,0.448064803914731
30,0.503045777811371,0.509714143754701
31,0.512486014546328,0.526832310269001
32,0.516506224331104,0.509024837732584
33,0.521924211536029,0.521085453632463
34,0.515023674382449,0.519864338198291
35,0.510084943108476,0.509744831891005
36,0.49954746600301,0.490637716304406
37,0.515432247975103,0.511084232690156
38,0.539067684194335,0.544879642368796
39,0.535174019086949,0.518519334607474
40,0.509282696580938,0.510380491094235
41,0.486561046340508,0.480649354286086
42,0.509763643298828,0.519804501028973
43,0.49716973964439,0.4957118472675
44,0.503944157940082,0.514440518729024
45,0.526660998924212,0.525827389716883
46,0.460774211112394,0.444978872747339
47,0.515376904326021,0.511697793945455
48,0.526012690178163,0.525763980737426
49,0.499679426727707,0.500344413461662
50,0.527028658735871,0.52824612950133
