"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s"
1,11.3827960465687,6.16382599699969,0.45849631568706,11.3827960465687,6.08363881068458,0.465540910528877,11.9666583864038,6.21925340292852,0.480284871339296,11.9666583864038,6.13566930014534,0.48726962013752,10.7702196964231,6.27255886553551,0.417601586380015,12.3983405326868,6.15743093250086,0.503366525845335,11.3827960465686,6.09135176025204,0.464863313430948
2,11.9323038201842,5.88500075047755,0.506800963237066,11.9323038201842,5.85081750153252,0.509665728454258,12.1801249919244,5.93154475676242,0.513014459154145,12.1801249919244,5.91803868133488,0.514123320962747,11.8008137731869,5.86003542534441,0.503421074344953,12.8923398357881,5.95795298714256,0.53786876059505,11.9323038201842,5.82272778813185,0.512019818144225
3,12.5404154253868,5.8821113110546,0.530947651132284,12.5404154253868,5.9489898117387,0.525614614034589,12.7083205300537,5.9352697203735,0.53296191213172,12.7083205300537,5.95987417403969,0.531025822023826,13.5991288645598,5.73748120387603,0.578099357611921,13.693737202005,5.98409012749777,0.563005333078715,12.5404154253863,5.88000935768078,0.531115265465807
4,12.5113728293298,6.01294748663808,0.519401462280606,12.5113728293298,6.08137479649277,0.513932253522453,13.3967576644527,6.02038581457982,0.550608739415026,13.3967576644527,6.07161859805538,0.546784472024455,13.2635764735434,5.91931282130385,0.553716689226998,14.1013797658534,6.11500719396722,0.566353981276728,12.5113728293296,5.99281834002041,0.521010330219573
5,11.2013852417637,5.98029893271977,0.466110770798012,11.2013852417637,5.94040336305632,0.469672434717462,12.2703515398677,6.31876003086844,0.485038386199606,12.2703515398677,6.24427221799055,0.491108938672033,10.658493615938,6.35783705698506,0.403495720307235,13.0121913738678,6.27701724795816,0.517604908534912,11.2013852417636,6.19970643675468,0.446523237711753
6,11.8769473138301,5.93132767855194,0.50060166793489,11.8769473138301,5.96668266612475,0.497624893967758,12.5427556759665,5.9944958399743,0.522075053135212,12.5427556759665,6.05865506175984,0.516959811840313,13.5766419069866,5.80222274045533,0.572631967447748,13.1752180269474,6.08237758903028,0.53834710161229,11.9136663766833,6.00615302377273,0.495860230270709
7,12.0776726715827,6.09446055000627,0.495394459203568,12.0776726715827,6.02525034893173,0.501124884506233,12.9886542210982,6.21028263606364,0.521868660882825,12.9886542210982,6.18402924246071,0.523889916753991,11.9053472222901,6.19774486833644,0.47941502649057,13.7652504401009,6.23102525325786,0.547336586401245,12.0776726715825,6.15338142658864,0.490515963305835
8,11.919084452602,5.9994094293102,0.49665517908127,11.919084452602,6.08330556346403,0.489616372158854,12.8684290336238,6.09175272535597,0.526612556246074,12.8684290336238,6.20509577163041,0.517804717621927,12.4043870231218,6.04403647152358,0.512750089121093,13.5880180132538,6.23912673655024,0.540836144722168,11.8962649447217,6.21332927855924,0.477707557167677
9,11.6914839347063,5.98213168993416,0.488334267630806,11.6914839347063,5.94271394889725,0.491705759329982,12.0234762836787,5.93319118676488,0.506532799102459,12.0234762836787,5.89602015619727,0.509624336831699,10.4684403279813,6.04512018727537,0.422538601942712,12.2366851603812,5.90351914466395,0.517555688710711,11.6914839347062,5.85182676243356,0.499479553227424
10,12.0876506290241,5.99953407005056,0.503664173115256,12.0876506290241,6.07797186024908,0.497175088295896,12.8664520579719,6.10667297304011,0.525380194514734,12.8664520579719,6.16959192702145,0.520490038806085,13.3860991385037,5.97264114547892,0.55381765190284,13.4510049921088,6.19577200790463,0.539382223741686,12.0876506290239,6.18870553439004,0.488014195287029
11,12.4694531033945,5.93115512065859,0.524345208127535,12.4694531033945,5.89884119186061,0.526936655284843,12.3687254741483,5.83668521415503,0.528109405746438,12.3687254741483,5.8087734207715,0.530366048392592,11.6592574598806,5.82400152405088,0.500482638444925,12.9174069044992,5.82908804229091,0.548741625514591,12.4694531033945,5.73536252310128,0.540046987181822
12,12.5591060723772,6.01741901742049,0.52087202841169,12.5591060723772,6.04268166381824,0.518860528050744,12.8861899008824,6.06272292508138,0.529517803810557,12.8861899008824,6.08833456141874,0.52753027789837,10.6805644257114,6.17019019316286,0.422297366765627,13.5372907995942,6.11755449517813,0.548096100930215,12.5591060723768,5.97419817424816,0.524313423278735
13,11.6576211202058,5.87030047716237,0.496440961956848,11.6576211202058,5.9032175148443,0.493617312316625,12.0776721143371,5.67244396740065,0.530336316990506,12.0776721143371,5.79106697303281,0.520514639062079,12.0045341003013,5.56895819949057,0.53609543252905,12.8087429822411,5.8176444282681,0.545806763682114,11.6990258736683,5.71752454624491,0.511281998348795
14,12.1638072561054,5.93140795986139,0.512372414740114,12.1638072561054,5.87909461981112,0.516673152079075,13.0935350417753,6.14560833534045,0.530637958677109,13.0935350417753,5.9983298518805,0.541886142073728,11.2679108937241,6.21950130659919,0.448034212795979,13.7498344318825,6.03720414573002,0.560925320545591,12.163807256105,5.95233504812718,0.510651975750463
15,12.4950386552149,6.15733120829045,0.507217914390315,12.4950386552149,6.09962961697574,0.511835874598916,12.9911891409142,6.00283080532397,0.53793061280135,12.9911891409142,5.99973503563229,0.538168910439703,11.5361052829919,6.04275773750901,0.47618736226185,13.6432193119879,6.03177965979141,0.557891761331474,12.4950386552146,5.91455622684506,0.52664762470529
16,13.2044866806121,6.10732976076835,0.537480713299091,13.2044866806121,6.04235230809689,0.542401574991267,14.5452092040728,6.29518299236504,0.567198869123015,14.5452092040728,6.28331512848354,0.568014798527329,12.5903307065844,6.38758050028178,0.492659831648324,15.1741786349885,6.31504184904925,0.583829741236334,13.2563213809693,6.28915344176823,0.525573252109223
17,11.5424669753437,6.04039214846436,0.476681010968671,11.5424669753437,5.9602617567522,0.48362323500824,12.3465505308877,5.88297196247997,0.523512907693337,12.3465505308877,5.91164451796627,0.521190594637997,11.7725107855706,5.89298197609925,0.499428619481736,12.6487230214425,5.9286232422135,0.531286815897297,11.5424669753436,5.94291832976417,0.485125810413051
18,11.2663029198306,6.06388675940901,0.461767821923591,11.2663029198306,6.07570040941192,0.46071923925304,12.0249703830706,6.23631218573598,0.481386482704708,12.0249703830706,6.2798579451725,0.477765204809685,11.0493673717017,6.25156556509875,0.434215068175805,12.5957023435367,6.29900441570177,0.499908441474563,11.2663029198303,6.16127133848111,0.453123941161177
19,11.7086175024502,6.08767359100385,0.480068967174825,11.7086175024502,5.95348492634464,0.491529642581731,12.9071680850357,6.1873215054275,0.520629043903059,12.9071680850357,6.00650390687394,0.534638127643372,11.1696576578014,6.27046162765674,0.438616489442974,13.5002852128286,6.03083842803937,0.553280665336717,11.7641036541025,5.98518933414889,0.491232863112213
20,11.8116123371591,5.85464584214661,0.504331358410061,11.8116123371591,5.8158769350606,0.507613628940058,12.7222870375424,5.8743580959869,0.538262414717402,12.7222870375424,5.90944312442083,0.535504653606496,11.1212676705055,5.93325767389168,0.466494481593391,13.3163424061999,5.93256970368489,0.55448954955358,11.8597059942672,5.8620414176368,0.505717812863959
21,12.02847170679,6.06772044256219,0.495553500854393,12.02847170679,6.05893975160844,0.496283493090131,12.5441904196211,6.02410009490771,0.519769718619302,12.5441904196211,5.97781517614567,0.523459467994411,13.0916712467558,5.86907998483379,0.551693601663868,13.1971076470651,6.02138715223035,0.543734330789562,12.0284717067894,5.91007040854167,0.508659906876967
22,10.8342023605204,6.0746619752452,0.439306949131655,10.8342023605204,6.05870946179136,0.440779370720527,11.215135759859,5.88345393421867,0.475400560439346,11.215135759859,5.88773719620815,0.475018642459823,10.2643385463487,5.88072340546781,0.427072345781137,11.8404926834162,5.91526943057646,0.50042032973329,10.8342023605202,5.82064955186796,0.462752369008872
23,12.1899731165484,6.05567057448423,0.503225272395111,12.1899731165484,6.04417261921079,0.50416850296367,13.3364167847916,6.315067296035,0.526479458617665,13.3364167847916,6.25354896400674,0.531092266767033,12.0222466416437,6.36509965863622,0.470556556659863,13.8648022938655,6.27536610822508,0.547388705931881,12.1899731165482,6.25033200129612,0.487256293222572
24,11.2564877112942,5.94250044250823,0.472082180967887,11.2564877112942,5.92679291340344,0.47347760105874,12.4558582433456,6.01541862702468,0.517061088083727,12.4558582433456,6.03372370471124,0.515591492225382,11.0443735635424,6.05508377378984,0.451749459672596,13.1974771304594,6.04378580253679,0.542049912813421,11.2564877112943,5.99254790772931,0.467636081393612
25,12.9525713854707,6.02151336081706,0.53511058294019,12.9525713854707,6.05930283757474,0.532193055938559,13.3833008160477,6.06766080349626,0.546624492201459,13.3833008160477,6.05439984055004,0.547615351117992,13.1533511280571,5.99414641931087,0.544287508106971,14.0607211728916,6.08250677285862,0.567411465026033,12.9525713854706,5.98509992796949,0.537921872819539
26,11.493144316772,6.2741913134045,0.454092706010092,11.493144316772,6.20705624429801,0.459934020384655,11.7356562712048,6.31037550008368,0.462290360738741,11.7356562712048,6.20988803788588,0.470852937886161,9.92311242711209,6.46335206856418,0.348656773160716,11.9086558889981,6.21406582504679,0.478189152246163,11.4515792531392,6.16059209550475,0.462031222128953
27,12.0375740317241,6.26390519056909,0.479637244675627,12.0375740317241,6.26921153014986,0.479196429976022,12.2072732311185,6.15163289552639,0.496068222685081,12.2072732311185,6.19611556283792,0.492424274813239,11.713903018226,6.18090872617663,0.472344212124722,12.3161072755606,6.20324048298269,0.496331077328948,12.0375740317243,6.20067359205203,0.484890096982121
28,11.694522755244,6.02740016283397,0.484596311539846,11.694522755244,6.01669716276883,0.485511526319374,12.1433769918221,5.91695607902841,0.51274212412139,12.1433769918221,5.87854744284376,0.515905052869342,12.4584939368759,5.78124389559388,0.535959649305445,12.9302273734354,5.92020401567531,0.542142311600946,11.694522755244,5.87118855721516,0.497953984092045
