"r","smle_param_delta","smle_param_delta.s","smle_param_R.s","smle_param_alpha0","smle_param_alpha1","smle_param_beta0","smle_param_beta1","smle_param_beta2","smle_param_beta3"
1,11.7925749137751,5.89904787668384,0.499765918824642,5.01387591903163,5.98755840936348,2.87103941377556,-0.124820070073186,4.85138287078907,1.20143937425569
2,12.42604949067,6.48285710566334,0.47828494401773,4.97442419747834,6.01699777914108,3.28191715567679,1.62148642120494,4.72322856864808,0.977273045375333
3,11.4857695616093,6.07675302777031,0.470932008937249,5.07969633742643,6.00223352197743,1.51839650077592,2.18553418902806,5.09716246972774,0.766033750890252
4,11.6944470579509,6.20259416412312,0.469612018987589,5.07754941680764,6.02273518906847,3.23125120643844,1.04715562672089,4.79500241705963,1.01533990399715
5,12.1144065323706,6.00478503631398,0.504326933369063,5.0349137906444,6.0332056801563,2.05479157839572,0.295088198664766,4.98605448605089,1.13402077474666
6,12.2334544920045,5.95907723950238,0.512886793881721,4.99100447722627,6.00830391905453,3.44578339690553,-1.30328052673785,4.71259042276322,1.45508941123536
7,11.7779372637904,6.10300245212297,0.481827563228258,5.02649780347656,5.99106312175744,2.48233755506842,1.11711663373879,4.8914912090066,0.991920421199768
8,11.633091586729,6.0425948716224,0.480568443343491,5.0502669590803,6.01716036802492,2.09610762668843,2.11763922678614,5.00473839650192,0.777177855475392
9,12.1327522619677,5.88308308557504,0.51510729317233,4.9978547016411,6.02470314351014,1.68761998762257,0.656233717778522,5.04044391902081,1.04581859214119
10,11.8549613414977,6.26824722950164,0.471255363139822,5.0570277184899,6.01005546592919,2.37620351032494,1.60332868326412,4.93960616005161,0.922462522635833
11,11.698677360323,6.4762509794998,0.44641169424293,5.05393077940055,5.99864428131668,2.95229958871276,2.91588126049906,4.82357771392903,0.704475362724107
12,11.5037580240425,5.89739629025006,0.487350457309281,5.04562120763166,5.98739873201919,2.05730943672159,1.17081810029519,5.01618932891703,0.936768337426079
13,11.9640455584803,6.10131368112316,0.490029217015271,4.99704924644665,5.98743088367737,3.05736928838949,0.506112080558659,4.79996829265004,1.11970111252019
14,11.5041221296216,6.46867019092628,0.437708491092047,5.05420191341926,5.99268858930137,0.986877799772055,5.74943119070395,5.2231966316393,0.142305157677357
15,11.2477184856979,6.02196648879527,0.464605511201889,5.04630548829269,5.95448990466962,1.72142636709644,2.72756416318255,5.10123031515425,0.652834501053425
16,12.4971946473886,6.43128687127086,0.485381555402536,4.95735965225274,5.98438537112295,2.74285558588211,1.0555710425637,4.82189522015257,1.08439092698556
17,11.8632559690243,6.12076417900029,0.484056974326275,5.0453870173563,6.02446770688339,2.53869649623413,1.44626319312808,4.93869739467149,0.926490072969975
18,12.0006180554107,6.06356689745952,0.494728782345871,5.01116598890852,5.99836689608595,2.7630439681145,0.261252273306933,4.8561480689099,1.15787715613395
19,11.7938582750493,6.03338583192654,0.488429851264993,5.01439399273441,5.99528920048042,1.74829821775158,1.96781641853958,5.06188874492309,0.81077981093583
20,11.4912688806226,5.55860971417161,0.516275376382067,5.03889770208545,6.01403349304285,3.57676612896938,-1.10288429346688,4.76191716714984,1.3220141391006
21,11.5918582831497,6.04931675802975,0.4781408976658,5.03919258166138,6.01176571888383,2.70263089972372,2.05373667122538,4.90594205644598,0.79290085108973
22,11.817996355862,6.40680970224983,0.457876825366262,5.07286816630689,6.02429406816726,2.43673189287261,2.46261845198767,4.9099422318085,0.77750714604783
23,11.9865906472229,6.57663975522796,0.451333581934606,5.02140636099395,6.01470951033636,1.81620571294073,4.54676205573133,5.04217992777174,0.404244857628856
24,12.1105836099516,6.0087641136794,0.503841903313247,5.01910943809427,6.03337952776113,2.03296505365664,0.920599444246892,5.00221258698774,1.01375846296838
25,11.7457582183689,6.31016104705606,0.462771076184103,5.04733591542999,6.00950555369234,2.57192785338302,2.73301956433594,4.94059398828333,0.708718726602801
26,11.8041676871968,6.1308440667862,0.480620385168203,5.02167979096653,5.98401794671835,1.76531895151616,1.85607168765023,5.04409007276973,0.85126343316948
27,11.7149075955031,6.27380490917226,0.464459718693765,5.03920084782535,5.9792839027856,2.40478623710321,1.94830283931638,4.9295250732485,0.858370642583642
28,11.8495451037443,6.26434649136954,0.471342871264307,5.10122571200025,6.00158496386919,2.16626171804598,-0.0191462015707599,4.97153871791581,1.23176135456207
29,12.1087149364854,6.24238468643435,0.484471744592393,4.99182542562623,6.00108876687532,2.11674168546791,2.03687198190869,4.97000727376911,0.842479923864339
