"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s","mle_param_delta","mle_param_delta.s","mle_param_R.s"
11,12.7007737345883,5.76863776868011,0.545804225063056,12.7007737345883,5.84502221853346,0.53979006785897,12.2382826956867,5.63412189567287,0.539631332616744,12.2382826956867,5.69215467990249,0.5348894267732,13.7646266646848,5.81218145475998,0.577745071018017,NA,NA,NA,12.7007737345879,5.56028160736985,0.562209222558814,12.7007737345884,5.52267036352912,0.565170557405565
12,12.2039710616595,5.95335921768876,0.512178520613502,12.2039710616595,5.90379068604686,0.516240192948799,12.9262296044121,6.13795226534384,0.525155249969505,12.9262296044121,6.05169861327581,0.531828011842665,14.7790803859005,6.22150675778164,0.579032890049298,NA,NA,NA,12.2039710616598,6.01481896065973,0.507142475980135,12.2039710616598,5.87277949951302,0.518781266372955
13,13.0230579683595,5.96262731695084,0.542148446897996,13.0230579683595,5.98246284139285,0.540625338846861,12.7427498590445,6.07819646396681,0.523007472390064,12.7427498590445,6.11851582839944,0.51984337006689,14.3266729784875,6.15142111916157,0.57063156753851,NA,NA,NA,13.0230579683595,6.12445886581379,0.529721907044133,12.9839530013943,5.99625694918079,0.538179401255005
14,11.951906391139,6.10633029764651,0.489091522489361,11.951906391139,6.13086029209244,0.487039130708237,11.496811434447,5.99488115102208,0.47856140937825,11.496811434447,6.03531939569297,0.475044065034433,12.9007094442979,6.09142328913924,0.527822611970255,NA,NA,NA,11.9519063911388,5.95400204509601,0.501836623359906,11.8362923756974,5.9249610998743,0.499424235917016
15,11.8542173209441,5.96233127699234,0.497028684765373,11.8542173209441,5.87547064617584,0.504356088040074,12.0254989208278,6.08388263181912,0.494084804973701,12.0254989208278,5.99868192945341,0.501169808508827,13.8071757155577,6.07863268036508,0.559748292801419,NA,NA,NA,11.8542173209441,6.0364157761645,0.490779052489672,11.8175456129209,5.87252230146179,0.503067515555769
16,11.7879238582484,5.91059591645492,0.498588895930211,11.7879238582484,5.83405939643852,0.505081686428077,12.1891364372422,5.83804329423089,0.521045373124749,12.1891364372422,5.63711619151848,0.537529486150057,13.7894130223133,5.67704919967034,0.588303781278866,NA,NA,NA,11.7879238582484,5.6759256967389,0.518496576242537,11.7879238582487,5.51756858431782,0.531930418734689
17,11.6456635060671,5.97143455362993,0.487239644995841,11.6456635060671,5.97879013605575,0.486608029423057,12.3463555531557,6.2482519415822,0.493919325854409,12.3463555531557,6.19632989570151,0.498124781112614,14.0169817730343,6.33351633032879,0.54815405820723,NA,NA,NA,11.6456635060672,6.37384417127952,0.452685184664761,11.6846066560488,6.14952607267929,0.47370705290316
18,11.5441866448506,6.11077841092572,0.470661849212953,11.5441866448506,6.07292728083545,0.473940653623756,11.2839287076888,6.16587479569317,0.453570209860351,11.2839287076888,6.09971359243533,0.459433522627717,12.8891798592922,6.17982620518975,0.520541549372941,NA,NA,NA,11.5180725216441,6.07287089237126,0.472752851576555,11.5032596768852,5.9929759674152,0.479019327064524
19,12.087276375678,5.87783658154993,0.513717036091167,12.087276375678,5.95264773693225,0.507527787739664,12.4920726926576,6.05753108642748,0.515089990631587,12.4920726926576,6.08241583672231,0.513097947284813,14.1644049257997,6.14656922334206,0.566055245134483,NA,NA,NA,12.0872763756781,6.08844951838651,0.496292685866138,12.0872763756778,5.91368938972016,0.510750875059019
20,12.2901019912454,5.8594336945911,0.523239620080864,12.2901019912454,5.90776028254081,0.519307464921847,11.8434912328299,5.8805898057746,0.503474972863262,11.8434912328299,5.86696810618388,0.504625115107886,13.4068666995008,5.96760440606714,0.554884482718892,NA,NA,NA,12.2901019912455,5.82690383595112,0.52588645398535,12.2872554965927,5.76268453458897,0.531003116506614
