"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s","mle_param_delta","mle_param_delta.s","mle_param_R.s"
11,12.4694531033945,5.93115512065859,0.524345208127535,12.4694531033945,5.89884119186061,0.526936655284843,12.6173981432603,5.91835988860971,0.530936582850795,12.6173981432603,5.92224976358435,0.530628288309363,12.4976127558172,5.90653079360591,0.527387277153662,12.7855062693959,5.9276310575412,0.53637885488118,12.4694531033947,5.86753108222944,0.529447600181275,12.4694531033943,5.83149533055161,0.532337522568315
12,12.5591060723772,6.01741901742049,0.52087202841169,12.5591060723772,6.04268166381824,0.518860528050744,12.6879244491227,6.02863424294572,0.52485260555263,12.6879244491227,6.05058776112858,0.523122336880959,12.6833300188499,5.99040966794011,0.527694252295164,12.9150252467129,6.0622412838189,0.530605541374234,12.559106072377,5.98838420061291,0.523183882188558,12.5591060723773,5.96883720868824,0.524740282127548
13,11.6576211202058,5.87030047716237,0.496440961956848,11.6576211202058,5.9032175148443,0.493617312316625,11.6770919770201,5.78344885073877,0.504718395460079,11.6770919770201,5.8392068803298,0.499943402704969,12.0229777234018,5.70709732975523,0.525317482819021,11.9488745079259,5.85121474316087,0.510312478444756,11.657621120206,5.76189895624023,0.505739730531025,11.6576211202056,5.75316598376032,0.50648885184743
14,12.1638072561054,5.93140795986139,0.512372414740114,12.1638072561054,5.87909461981112,0.516673152079075,12.3903362801869,6.00605888339156,0.5152626411766,12.3903362801869,5.97205732958429,0.518006840610609,11.9230617420073,5.99938977069694,0.496824733402168,12.5988829085743,5.99863118765051,0.523875947480386,12.1638072561056,5.88099108521308,0.516517241568333,12.1638072561056,5.83261801057467,0.520494045345301
15,12.4950386552149,6.15733120829045,0.507217914390315,12.4950386552149,6.09962961697574,0.511835874598916,12.6781751249125,6.18092603535152,0.512475101940653,12.6781751249125,6.12012958079298,0.517270465150227,12.7431545955703,6.12941993490723,0.519002936915016,12.9557171542065,6.1563506778093,0.52481590910539,12.495038655215,6.05636191080406,0.515298665500619,12.4950386552149,6.02420070860546,0.517872583283989
16,13.2044866806121,6.10732976076835,0.537480713299091,13.2044866806121,6.04235230809689,0.542401574991267,13.67939470218,6.16281493065533,0.549481898517544,13.67939470218,6.1101836374246,0.553329385513612,12.7907987239904,6.20253096356168,0.515078682934146,13.8631162803232,6.13477898121515,0.557474751191215,13.2563213809701,6.06673973927046,0.542351187413161,13.2563213809696,5.98625874815642,0.548422328026077
17,11.5424669753437,6.04039214846436,0.476681010968671,11.5424669753437,5.9602617567522,0.48362323500824,11.9642892489125,6.04587810307523,0.494673024256351,11.9642892489125,5.97328096294685,0.500740843131173,11.6066268461549,6.05430883445835,0.478374818566338,12.2005774693037,5.988469150362,0.509165105878897,11.5424669753436,5.94641695231132,0.484822701679482,11.5424669753436,5.8739601253005,0.491100114226175
18,11.2663029198306,6.06388675940901,0.461767821923591,11.2663029198306,6.07570040941192,0.46071923925304,11.6321076698263,6.06588251745869,0.478522492257049,11.6321076698263,6.11140066746933,0.474609345018159,11.4278111147313,6.05185997481939,0.470427021057595,11.8808794702684,6.12045693826421,0.484848158456575,11.2663029198305,6.01831897933512,0.46581243002601,11.2663029198306,5.97753390192861,0.469432524186161
19,11.7086175024502,6.08767359100385,0.480068967174825,11.7086175024502,5.95348492634464,0.491529642581731,12.3547913348708,6.13263293511772,0.50362310710917,12.3547913348708,6.05165600412328,0.510177400807833,11.1680558845956,6.23454915648865,0.441751615418747,12.5113400209075,6.05968273439156,0.515664770978541,11.7641036541021,6.0003711986096,0.489942338571857,11.7641036541022,5.89470374677222,0.498924531771131
20,11.8116123371591,5.85464584214661,0.504331358410061,11.8116123371591,5.8158769350606,0.507613628940058,12.4271894963007,5.88921318527453,0.526102568321856,12.4271894963007,5.90156296047726,0.52510879775077,11.8891558941065,5.9060883506584,0.503237369981321,12.6333237935799,5.90627163106597,0.53248474213354,11.8116123371592,5.8213419627785,0.507150946322151,11.8116123371588,5.71354693664059,0.516277136977649
21,12.02847170679,6.06772044256219,0.495553500854393,12.02847170679,6.05893975160844,0.496283493090131,12.4173182991506,6.09311587906224,0.50930500996507,12.4173182991506,6.10143984385667,0.50863465871902,11.8858597000383,6.09299574113229,0.487374418434987,12.677521139934,6.12583228257536,0.51679573514738,12.0284717067899,6.03432249027077,0.498330075726537,12.0284717067899,5.96975168370299,0.503698239541676
22,10.8342023605204,6.0746619752452,0.439306949131655,10.8342023605204,6.05870946179136,0.440779370720527,11.0284131462274,6.03962909774958,0.45235737746952,11.0284131462274,6.06880549390003,0.449711811351929,10.5819489906581,6.04408087243574,0.428831033132786,11.2990134250255,6.08313567103296,0.461622405230549,10.8342023605203,6.02877126716504,0.44354267471191,10.8342023605201,6.00251340317853,0.445966283124659
23,12.1899731165484,6.05567057448423,0.503225272395111,12.1899731165484,6.04417261921079,0.50416850296367,12.7527936652421,6.13861364813896,0.5186455760772,12.7527936652421,6.15214972641983,0.517584155447635,12.2171306364205,6.15530119168519,0.49617456218929,12.9437298487182,6.16246174708216,0.52390371097768,12.1899731165483,6.14977373990753,0.495505553530794,12.1899731165482,6.03307133669258,0.50507919262738
24,11.2564877112942,5.94250044250823,0.472082180967887,11.2564877112942,5.92679291340344,0.47347760105874,11.5450371652463,5.98793630025733,0.481341097949633,11.5450371652463,5.97166351346337,0.482750602878985,11.9495366567823,5.92361258213086,0.504280981575233,11.8176541669669,5.97231356998689,0.494627826673003,11.2564877112939,5.92618474268018,0.473531629521141,11.2564877112939,5.88296929848982,0.477370788351031
25,12.9525713854707,6.02151336081706,0.53511058294019,12.9525713854707,6.05930283757474,0.532193055938559,13.0449944440186,6.01892516202666,0.538602704059683,13.0449944440186,6.05329866279217,0.535967708628061,13.1708698054059,5.97297494694589,0.546501101658879,13.3026947679969,6.06536865994115,0.544049625604207,12.9525713854707,5.99439387990725,0.537204335609273,12.9525713854708,5.96922804585816,0.539147257466267
