"r","smle_param"
1,0.524087582941783
2,0.520661831983875
3,0.526552209184646
4,0.548636378457706
5,0.545148804831638
6,0.50405111735225
7,0.539311642772283
8,0.517813780466036
9,0.505628913096113
10,0.543169700924242
11,0.515054585264108
12,0.51213929874783
13,0.58881252416399
14,0.527019037266943
15,0.513398816604144
16,0.526469945403224
17,0.536822048034856
18,0.516568081022394
19,0.481599521497719
20,0.531501400445647
21,0.496941695807908
22,0.555578445707691
23,0.522175655012534
24,0.575736270455686
25,0.503511018617079
26,0.498238944419887
27,0.513341649844704
28,0.552445001604956
29,0.499537188302725
30,0.549414810114304
31,0.537927324391744
32,0.52206819803555
33,0.556760011803625
34,0.549561580348255
35,0.522268063686134
36,0.560833965899724
37,0.558490110053833
38,0.538002360334394
39,0.553940458946798
40,0.506446241394692
41,0.517223220144001
42,0.508893110143735
43,0.548236617104375
44,0.541182102300981
45,0.544515315770987
46,0.552272351718745
47,0.527015909629312
48,0.512590279534521
49,0.508356996531626
50,0.543975016495822
