"r","smle_param"
1,0.532928208996554
2,0.52652718261869
3,0.513693374315383
4,0.52594803525924
5,0.494081380638326
6,0.52116443825063
7,0.568155729217163
8,0.533909118909772
9,0.577564305946834
10,0.548890775542354
11,0.546636361375389
12,0.551208668281659
13,0.538081736758965
14,0.487011290674141
15,0.526249862030063
16,0.503449586557981
17,0.50423406292109
18,0.558515498587969
19,0.523835943996695
20,0.526816955540612
21,0.539093596872699
22,0.547539363672934
23,0.545590956937711
24,0.551669126276877
25,0.540971520737265
26,0.563379292326429
27,0.527018100789196
28,0.498130561252929
29,0.538973556228727
30,0.530715715714235
31,0.523858074321884
32,0.534307125715293
33,0.533465789134799
34,0.542990856720352
35,0.544258091054548
36,0.477519469205288
37,0.523376806118152
38,0.501020971209311
39,0.544964146618481
40,0.536863429207024
41,0.531140431418645
42,0.522728553795101
43,0.52536392878539
44,0.562368100689565
45,0.503283535996723
46,0.509464612345419
47,0.524270106818399
48,0.510360495544432
49,0.533205035374418
50,0.556384055136347
