"r","smle_param"
1,0.489555087279701
2,0.49364753448309
3,0.467161783990067
4,0.470615585805939
5,0.50333209288704
6,0.491310134795142
7,0.454214241350585
8,0.488248725831277
9,0.506459410823087
10,0.4756284614163
11,0.502191298263492
12,0.481299509158646
13,0.520303740264914
14,0.521147107156793
15,0.478394172180322
16,0.499651900910599
17,0.49296201155729
18,0.501204782126343
19,0.55855507719642
20,0.541872558743234
21,0.490241806779005
22,0.508658286706967
23,0.502139662348892
24,0.43606281742445
25,0.483900785609061
26,0.505115885189078
27,0.464902601715651
28,0.48872414827031
29,0.505728167464575
30,0.465396218904847
31,0.482532853772835
32,0.519583189883216
33,0.492554412917963
34,0.500478124930909
35,0.484676894245264
36,0.527496288619564
37,0.479181466568713
38,0.485641138599196
39,0.504611879705429
40,0.472299744935781
41,0.464860968247014
42,0.462317533104905
43,0.464803921403553
44,0.529214898170306
45,0.493070569121259
46,0.515752895215034
47,0.526380232967117
48,0.455435829884216
49,0.495307981361501
50,0.454996186240409
