"r","smle_param"
1,0.47918100180595
2,0.515365727149469
3,0.485058106216057
4,0.496187000749056
5,0.490873546185892
6,0.49447430250207
7,0.500635899965365
8,0.458743192976127
9,0.505115310939603
10,0.495018289862583
11,0.480966315002282
12,0.496645102774194
13,0.516936761263153
14,0.508000358844811
15,0.487576280105736
16,0.48260026645928
17,0.508285595262422
18,0.527440235030989
19,0.483345081824495
20,0.477714835840921
21,0.503544973870562
22,0.503228953501468
23,0.49860077559071
24,0.478531240815292
25,0.511760216501361
26,0.419732369124787
27,0.476007063596903
28,0.508087804390579
29,0.513791728777634
30,0.501642689508799
31,0.484204821141086
32,0.522425244090687
33,0.514231883094378
34,0.535020565161739
35,0.493214004508017
36,0.561448851186124
37,0.494254577876808
38,0.504084928753016
39,0.498191466722877
40,0.517045033418007
41,0.459463144748735
42,0.514945755722351
43,0.46845868180779
44,0.532375883475626
45,0.53421234258806
46,0.462541118365351
47,0.479511375854158
48,0.50062786987528
49,0.489076718026507
50,0.505812514874355
