"r","smle_param"
1,0.533889445629578
2,0.497942263924539
3,0.483008338892467
4,0.470057048113378
5,0.517150970262485
6,0.470919733505609
7,0.492980320978361
8,0.539393760805802
9,0.510292514008526
10,0.513612411501049
11,0.494296522025138
12,0.530072919301356
13,0.493308046105726
14,0.472362921057272
15,0.4845694985127
16,0.49469747031178
17,0.496298866578387
18,0.463877867033911
19,0.480406903439897
20,0.47293914758396
21,0.494855892754828
22,0.478048088632576
23,0.52172701009593
24,0.489108470891245
25,0.505501690454155
26,0.499629916753049
27,0.518576388848226
28,0.546858665995538
29,0.451173876140943
30,0.446716052262852
31,0.505914794933035
32,0.4644838614586
33,0.497292704828603
34,0.474551222413128
35,0.517022881176124
36,0.525344579975144
37,0.514280782718318
38,0.483196570730775
39,0.490763781878391
40,0.488145391005503
41,0.545600441362601
42,0.480313438086465
43,0.491768441145598
44,0.474003023866945
45,0.483302114409207
46,0.547404777184759
47,0.532535759417898
48,0.498791515398417
49,0.503962655951841
50,0.489796525141859
