"r","smle_param"
1,0.552007899902588
2,0.502194415665708
3,0.515842928904164
4,0.488060439715493
5,0.467600680384327
6,0.507916625468215
7,0.512578033843915
8,0.52805784177902
9,0.465442473446591
10,0.522979043569179
11,0.479693247900899
12,0.525880797261997
13,0.507622967101035
14,0.495463521959935
15,0.478246988232429
16,0.479667824538494
17,0.51238618001804
18,0.497974395065627
19,0.492942045957575
20,0.523425814718557
21,0.53168163438356
22,0.485695802753123
23,0.462586324662554
24,0.495769044615643
25,0.521236089097233
26,0.48686972244209
27,0.5121863215934
28,0.484753796453071
29,0.488747956083011
30,0.509429519642436
31,0.552535651991898
32,0.543736915133654
33,0.493798575733197
34,0.492162262487843
35,0.464241283066943
36,0.513809531453139
37,0.521548865505216
38,0.506530633414006
39,0.480867206073742
40,0.50226791704843
41,0.507379645581736
42,0.521874860262735
43,0.477848233076586
44,0.51515265210336
45,0.492991981657664
46,0.469287337237188
47,0.523780904766357
48,0.517979661577376
49,0.462082835081779
50,0.535157488549426
