"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s","mle_param_delta","mle_param_delta.s","mle_param_R.s"
1,11.3827960465687,6.16382599699969,0.45849631568706,11.3827960465687,6.08363881068458,0.465540910528877,11.254435985093,6.12741597532857,0.455555481994423,11.254435985093,6.04875142756349,0.462545130153537,27.0333180324516,4.39113350739573,0.837565869564199,12.8285230986138,6.12983117684878,0.522171716125986,11.382796046569,6.08909935502165,0.465061191458577,11.4929866113637,5.91480064529131,0.48535564816172
2,11.9323038201842,5.88500075047755,0.506800963237066,11.9323038201842,5.85081750153252,0.509665728454258,12.1873000645131,6.17395940090714,0.493410405239432,12.1873000645131,6.09410072664564,0.499963019340896,27.940242736308,4.41852223021065,0.841858130156155,13.8801733507614,6.1661633735962,0.555757466583949,11.9323038201841,6.14536051281428,0.4849812236243,11.8921877039372,5.9953434579097,0.495858658880335
3,12.5404154253868,5.8821113110546,0.530947651132284,12.5404154253868,5.9489898117387,0.525614614034589,12.6590175098896,5.91352693858525,0.532860513545744,12.6590175098896,5.97546440133898,0.527967759214269,27.1025365256321,4.35265271391211,0.839400540617458,14.2886219294954,6.06646508920354,0.575433857852955,12.5404154253867,6.03246577312478,0.518958059322923,12.5404154253869,5.87606936496623,0.531429449053923
4,12.5113728293298,6.01294748663808,0.519401462280606,12.5113728293298,6.08137479649277,0.513932253522453,12.4903393401948,5.88728212046001,0.528653148636696,12.4903393401948,5.89185375736477,0.528287134809509,28.2569183133793,4.12544946520878,0.854002144909927,14.4747585671658,6.02175308664994,0.583982485185656,12.5113728293299,5.93687536501246,0.525481700050143,12.5113728293299,5.77223541259965,0.538640923634853
5,11.2013852417637,5.98029893271977,0.466110770798012,11.2013852417637,5.94040336305632,0.469672434717462,11.030082388436,5.73158883627703,0.48036754083668,11.030082388436,5.67724306089342,0.485294591557588,29.0092620601846,3.81886044422203,0.868357201355238,12.9652508688705,5.77159688157879,0.554841094865633,11.2013852417638,5.59719686613916,0.500312082360108,11.1262060159455,5.56040817580335,0.500242205848567
6,11.8769473138301,5.93132767855194,0.50060166793489,11.8769473138301,5.96668266612475,0.497624893967758,11.752308979543,5.80430649286657,0.506113521779421,11.752308979543,5.86055208055466,0.501327603728253,26.5284912514069,4.2357123576581,0.840333461955419,13.2619783858407,5.90032957910183,0.555094314932577,11.9136663766833,5.85653966333808,0.508418359372551,11.9123159633394,5.69563962729638,0.52186966457027
7,12.0776726715827,6.09446055000627,0.495394459203568,12.0776726715827,6.02525034893173,0.501124884506233,12.3531812943717,5.92851562505077,0.520081873342871,12.3531812943717,5.9001419579933,0.522378744600674,28.0940662354262,4.18521977866928,0.851028336603272,14.1330372038818,6.03168464720881,0.573220917754879,12.0776726715825,5.91696917633884,0.510090285004919,12.1209458414609,5.76633006018674,0.52426731910125
8,11.919084452602,5.9994094293102,0.49665517908127,11.919084452602,6.08330556346403,0.489616372158854,11.9143653920489,5.88165289846033,0.506339389055043,11.9143653920489,5.95154690797719,0.500473024610362,25.5138651322783,4.39495389778013,0.827742528425458,13.6121639920619,6.06207487732196,0.554657519490866,11.9190844526019,5.87250625077698,0.507302236666756,11.9541520607554,5.81241036619969,0.513774767406431
9,11.6914839347063,5.98213168993416,0.488334267630806,11.6914839347063,5.94271394889725,0.491705759329982,11.0247868069293,6.09517535727736,0.447138936650784,11.0247868069293,6.03944240496425,0.452194177472138,30.4313391652313,3.99441255024614,0.868740165243537,12.7825955146325,6.08724894243163,0.523786156304214,11.6914839347063,6.01724749893889,0.485330730252586,11.6914839347062,5.98093260703188,0.488436827999439
10,12.0876506290241,5.99953407005056,0.503664173115256,12.0876506290241,6.07797186024908,0.497175088295896,12.0209780042511,6.0770849301138,0.494460024137414,12.0209780042511,6.1695856563065,0.486765082331515,26.794694156041,4.45513839980133,0.833730574648232,13.6312053208612,6.21863639712534,0.543794092250349,12.087650629024,6.13930290232718,0.492101228704779,12.0133734396883,6.02399714269268,0.498559070611143
11,12.4694531033945,5.93115512065859,0.524345208127535,12.4694531033945,5.89884119186061,0.526936655284843,12.6518194603797,5.92909902894295,0.531363923781047,12.6518194603797,5.9484624625794,0.529833437695856,29.7681847426275,4.14247286743081,0.860842274957436,14.0164673507732,6.00551331572416,0.571538736157161,12.4694531033948,6.01766179668464,0.517407720548198,12.4694531033945,5.81397820723456,0.533742325423091
12,12.5591060723772,6.01741901742049,0.52087202841169,12.5591060723772,6.04268166381824,0.518860528050744,13.5737464504475,6.38527966754181,0.529586051216443,13.5737464504475,6.36990683316963,0.530718592952676,27.7679606553915,4.72198420906659,0.829948469472865,15.150603073955,6.45761848158752,0.573771522488855,12.5591060723772,6.51870962633125,0.480957514908751,12.5166954335993,6.21420297641544,0.503526868622665
13,11.6576211202058,5.87030047716237,0.496440961956848,11.6576211202058,5.9032175148443,0.493617312316625,11.939149148389,5.8988009047279,0.505927865427174,11.939149148389,6.02461174023671,0.495390193609431,27.0847688239102,4.27454479022544,0.842179018842062,13.3772567082891,6.07281041409645,0.54603469556404,11.6576211202057,6.09669968860325,0.477020257757729,11.6225334055951,5.89800897318506,0.492536715760632
14,12.1638072561054,5.93140795986139,0.512372414740114,12.1638072561054,5.87909461981112,0.516673152079075,12.4878309290556,6.10879006089388,0.51082056638992,12.4878309290556,6.03469089495836,0.516754276283694,27.6022803154108,4.36250661165617,0.841951224253725,14.1812138308266,6.16783974107699,0.565069689050905,12.1638072561052,6.00660458757952,0.506190417102776,12.2918359694511,5.86469252743672,0.522879044106002
15,12.4950386552149,6.15733120829045,0.507217914390315,12.4950386552149,6.09962961697574,0.511835874598916,13.166270280195,6.31674792001981,0.520232549872411,13.166270280195,6.22427343983626,0.527256139561486,27.9096492863665,4.59636818117894,0.835312578312325,14.8893502298718,6.32871463499598,0.574950247170695,12.4950386552148,6.29085078866068,0.496532106682585,12.5337172963667,6.06137954960832,0.516394106689689
16,13.2044866806121,6.10732976076835,0.537480713299091,13.2044866806121,6.04235230809689,0.542401574991267,13.3853672365976,5.94484588397447,0.55586979580804,13.3853672365976,5.89992626662385,0.559225670664264,27.6527142620256,4.37842593565252,0.841663791331137,15.3274879998925,5.98048935875674,0.609819341643023,13.2044866806121,5.87902580339083,0.554770590815703,13.1271544206024,5.75279158622194,0.561764004452235
17,11.5424669753437,6.04039214846436,0.476681010968671,11.5424669753437,5.9602617567522,0.48362323500824,10.7098278377512,5.99880215336726,0.439878750223973,10.7098278377512,6.05096403116934,0.435008281847422,27.2630734758543,4.19242403904223,0.846223352522771,12.370333813826,6.15057470316375,0.502796384015972,11.5424669753437,5.96375533742726,0.483320563085288,11.4657778118736,5.96471424914593,0.47978110626136
18,11.2663029198306,6.06388675940901,0.461767821923591,11.2663029198306,6.07570040941192,0.46071923925304,11.374677371285,5.84386894877643,0.486238707435423,11.374677371285,5.87671777593611,0.483350816545207,27.6879155733219,4.09708102135138,0.852026382755261,12.8657645931873,5.96324392131843,0.536502951058493,11.2663029198304,5.82421396932895,0.483041241588003,11.3708676441506,5.72067566911225,0.496900689715171
19,11.7086175024502,6.08767359100385,0.480068967174825,11.7086175024502,5.95348492634464,0.491529642581731,11.9927997423404,6.41632856292249,0.464984932561682,11.9927997423404,6.22519894071526,0.480921963639792,26.7927876431783,4.66727015980548,0.825801248382088,13.7013103956161,6.28213617296995,0.541493770188582,11.7086175024502,6.22468178562584,0.468367483665495,11.7086175024501,6.07861294582362,0.480842811326648
20,11.8116123371591,5.85464584214661,0.504331358410061,11.8116123371591,5.8158769350606,0.507613628940058,12.4004274093734,5.67771889645172,0.542135225745527,12.4004274093734,5.71831547187245,0.538861421216012,26.2519120948907,4.20070435550403,0.839984823188495,14.023997144425,5.79955091628542,0.586455212692984,11.8116123371592,5.73590073045447,0.514384610100234,11.852127667233,5.51697521025689,0.534516049341134
21,12.02847170679,6.06772044256219,0.495553500854393,12.02847170679,6.05893975160844,0.496283493090131,11.9574263794911,6.10489006740143,0.489447823164331,11.9574263794911,6.07142663916008,0.492246370876801,26.7670122445703,4.4518193723092,0.833682619052403,13.3871510829406,6.14961776716198,0.540632825530853,12.02847170679,6.02866450439628,0.498800458499382,12.0310708943799,5.92327400263092,0.507668597863729
22,10.8342023605204,6.0746619752452,0.439306949131655,10.8342023605204,6.05870946179136,0.440779370720527,10.9269348548882,6.19363227134802,0.433177523834392,10.9269348548882,6.19178413899362,0.433346659312817,27.9073263675406,4.31354881091032,0.845433104049428,12.3944642171891,6.24968476352894,0.495768057899459,10.8342023605207,6.21343326357528,0.426498319228676,10.8076695917463,6.09663649329586,0.435897217106658
23,12.1899731165484,6.05567057448423,0.503225272395111,12.1899731165484,6.04417261921079,0.50416850296367,11.8835065112476,5.89063596612649,0.504301532502122,11.8835065112476,5.89723058850531,0.503746593404593,25.3048496758305,4.4078869865819,0.82580860811072,13.5909469788546,5.97774530282114,0.560167123591787,12.2348514252669,5.8494592617843,0.521901896601355,12.2332361323331,5.7733105881686,0.5280635045612
