"r","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_nonparam_var_R.s","ipw_nonparam_normci_lb_R.s","ipw_nonparam_normci_ub_R.s","ipw_nonparam_quantci_lb_R.s","ipw_nonparam_quantci_ub_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","ipw_param_var_R.s","ipw_param_normci_lb_R.s","ipw_param_normci_ub_R.s","ipw_param_quantci_lb_R.s","ipw_param_quantci_ub_R.s"
1,11.3414992425041,5.97108707376538,0.473518716874067,0.00482868929856616,0.337320725665049,0.609716708083085,0.452849788179957,0.708232335015214,11.8602031586831,5.86032528498637,0.505883229268641,0.011514520355486,0.295563992398508,0.716202466138774,0.274584961996147,0.674797433330188
2,11.280541372788,6.13607033478661,0.456048239884247,0.00564049899968961,0.308845858934727,0.603250620833767,0.431111708471266,0.710618195967248,11.9288527194595,6.0228769515525,0.495100065932793,0.00863320907119134,0.312986540987806,0.677213590877781,0.310691980637742,0.66810931967284
3,12.0734344241296,6.07432141659923,0.496885376338378,0.00343708262261062,0.381977166870903,0.611793585805852,0.499769020746593,0.725640748020021,12.3938769229932,6.21885823169482,0.498231403269984,0.00771782898516852,0.326043099865184,0.670419706674783,0.315999688662428,0.655676765871128
4,10.9632583553251,5.9010551026144,0.461742584972639,0.00656766760155234,0.302901935710168,0.620583234235111,0.382868808859952,0.677746641314179,11.4896244698566,5.91187429852307,0.485459745526667,0.00978398664281434,0.291588233728168,0.679331257325167,0.260349553356342,0.655680785289256
5,11.8034584011402,6.15023753291177,0.478946142401989,0.00471083154897559,0.344420566846466,0.613471717957511,0.443852225601199,0.713201942441905,12.5137202260584,6.10689433362821,0.511984108377996,0.00736893291299126,0.343732829991925,0.680235386764067,0.349583973239886,0.678345456855722
6,10.8545656197486,6.0734925655274,0.440466548520618,0.00583285453904069,0.290775219455843,0.590157877585393,0.398548062602411,0.680541412922256,12.0504589356101,5.92326268401905,0.508461651488201,0.00665356220843324,0.348585685252131,0.668337617724272,0.362759062319186,0.668810942719019
7,12.7143815385934,6.17279712589467,0.514502761525784,0.00402618766066418,0.390136357231024,0.638869165820543,0.458097184485185,0.706508367682482,12.0388371038955,6.17881354161543,0.486759934677073,0.00863820719665555,0.304593700795291,0.668926168558854,0.280075675056326,0.657503046678389
8,11.7606042516831,6.05043835826947,0.485533376620206,0.0039946134901836,0.361655585293877,0.609411167946534,0.479471347699487,0.723269461254169,12.4667697383587,5.89864418278813,0.526850635201938,0.00731211175043813,0.359249297198678,0.694451973205199,0.345303748045159,0.67860920911028
9,11.5133686224628,6.42778796150805,0.441710921253115,0.00547543653968777,0.296678383487052,0.586743459019179,0.402172779161721,0.689824025510499,12.328918932022,6.23594607747089,0.494201712911403,0.00909087384624298,0.307323407675811,0.681080018146994,0.294014756936184,0.653900888506991
10,11.8304358607879,5.99328285468698,0.493401348419311,0.00453383487134655,0.361427184122791,0.625375512715831,0.456530022800093,0.712501129474087,12.2592590982845,5.9322325462075,0.516101870541458,0.00811906634578774,0.339494381249588,0.692709359833329,0.340252794080098,0.678548795456423
11,13.525827123262,5.96183923503044,0.559225533440604,0.0023184446762106,0.464851082087864,0.653599984793344,0.56843211577391,0.74177524691669,11.9923941522812,6.17577008883495,0.485026091503153,0.00789943045798567,0.310823760728282,0.659228422278025,0.307951987172507,0.665454595006625
12,11.405499017323,6.31160878436662,0.446617041939122,0.0052069760643429,0.305184657921954,0.58804942595629,0.413422588515298,0.69357410155629,11.8223503594601,6.14207817853255,0.4804689429951,0.00876641635073938,0.296955823428677,0.663982062561524,0.283975226469901,0.660625737844811
13,13.0698315319867,6.0881415301435,0.534183626220157,0.0031993202704306,0.423321059269512,0.645046193170802,0.515060348284638,0.72186449432973,12.4832269874207,6.11756748326155,0.509937014729747,0.00690321452177987,0.347089267103722,0.672784762355772,0.373025298597422,0.669799142886236
14,11.6737037680228,6.2320807130437,0.466143664694069,0.00481758804740799,0.330102324495868,0.602185004892269,0.434198813923764,0.694712640804165,13.0178606980416,6.25776075086789,0.51929422997979,0.00697409576234048,0.355612568573855,0.682975891385725,0.36371211181739,0.685949831904919
15,10.4704216723158,6.22647942623191,0.405326774689986,0.0110837502777207,0.198979167321032,0.611674382058939,0.285574656987294,0.655358455310787,11.5981965966556,6.02811492185044,0.480254117817878,0.0113926811915222,0.271050570846629,0.689457664789128,0.206811482985272,0.64514206329675
16,12.1773302634138,5.62086213664916,0.538415891245327,0.00297951145617883,0.431429484585151,0.645402297905503,0.533328561095041,0.75842000519034,11.0097266397384,5.68557644555231,0.483586047901421,0.0101594566719104,0.286029552815051,0.681142542987792,0.281918277294552,0.675601037881978
17,12.8357409996451,5.61494800977599,0.562553653121292,0.003875077057953,0.440543423936063,0.684563882306522,0.493221168800667,0.734195929383022,11.8871757594337,5.62678318376575,0.52665096422922,0.0074836283361432,0.357095349116869,0.696206579341571,0.345654532727083,0.68448588895506
18,11.0690542115654,6.04472997639096,0.453907275106199,0.00534501884831049,0.310612388918068,0.597202161294331,0.405696504021917,0.698858444402788,11.3300546185379,5.96302075818746,0.473698851510307,0.0101870590763213,0.275874166125505,0.671523536895109,0.269611953710159,0.664621826727801
19,12.0168637895618,5.72904057622996,0.523249936376378,0.00301008146273159,0.415716086137351,0.630783786615406,0.526066997301397,0.734834870689806,12.1702107282811,5.71552713351902,0.530367447111058,0.00655421208922367,0.371689593703717,0.6890453005184,0.381294765075349,0.697999303848706
20,10.9553290704747,6.13655103695535,0.43985698672496,0.00505013197524812,0.300570996775816,0.579142976674104,0.434754243127419,0.697731589980682,12.1142092905615,5.95315441644759,0.50858085132425,0.00841256419848106,0.328809589369273,0.688352113279227,0.344352182562917,0.680840881910337
21,12.1772926874944,5.85846386905303,0.518902598516875,0.00420512891091993,0.391802546494108,0.646002650539642,0.474110467513813,0.7137808680097,12.2024187184572,5.8481328289856,0.520739866093942,0.00737643917161369,0.35240291613443,0.689076816053454,0.349226882658691,0.668976158287115
22,13.1369880831175,5.76161879730542,0.561420109324011,0.00265234392260368,0.460478322074754,0.662361896573268,0.557758379120061,0.743999737592874,12.3166902274742,5.88883258163934,0.521881895795071,0.0072452499669465,0.35504858894952,0.688715202640622,0.356720433199673,0.679268163491585
23,11.3858005730982,5.96773532520805,0.475861597355892,0.00445775954924643,0.344999345027785,0.606723849683999,0.454538562042444,0.702974019772906,11.9646384660813,5.98968964389675,0.499383983822246,0.00943556607414829,0.308995773498056,0.689772194146436,0.285908731017403,0.664698326449449
24,11.5812643152487,5.88565018655754,0.491795539213443,0.0044498220264499,0.361049845988733,0.622541232438153,0.462007034654645,0.71488166541877,11.7305923383938,5.83677850762543,0.502431050431966,0.00848235117823765,0.321915676332368,0.682946424531564,0.320963435108106,0.676414482058096
25,13.4609797649947,5.84775631455972,0.565577215280657,0.00260991896534767,0.465445977910496,0.665708452650819,0.553860934153543,0.752200065888797,12.2274956750627,5.82164065438043,0.523889371210055,0.0063776784268289,0.367363049319755,0.680415693100355,0.379199674974268,0.693047553556556
26,10.8736181592156,6.16619158928348,0.43292182059405,0.00785568575825453,0.259202499823703,0.606641141364397,0.311977926175333,0.677087386482722,12.1286639634801,5.93335405504978,0.510799039950701,0.00927562767205596,0.322031322199571,0.699566757701831,0.321105849684938,0.682519919829678
27,12.4757990622529,5.82868229478006,0.532800883879615,0.00341104742537276,0.418328704773459,0.647273062985772,0.511962535412694,0.743215966170042,11.7130263599031,5.83973201366896,0.501432692607952,0.00863841028097709,0.319264317373935,0.683601067841969,0.300750874519739,0.658217224526199
28,11.173512646942,6.25230034996853,0.440435559744975,0.00367058584520907,0.3216882541631,0.55918286532685,0.483781274111063,0.717687466397105,12.6727558164805,6.19153896958989,0.511429158799226,0.00583992020267884,0.361647192426064,0.661211125172388,0.384526774158644,0.68138246985321
29,10.782092727321,6.01105871195778,0.44249610312419,0.00504688129114203,0.303254948403141,0.58173725784524,0.442961187263553,0.707294230758761,11.5223174581135,5.90950037636117,0.487125710791801,0.00900308354655951,0.301151933735833,0.67309948784777,0.308956064655911,0.663698182931825
30,12.9271283127765,5.80964654228848,0.550584909368732,0.00298926205719296,0.4434235865003,0.657746232237165,0.541783733053569,0.749462417387631,12.373398535004,5.8239769731454,0.529314686125278,0.00726973070171731,0.362199763201809,0.696429609048748,0.338633110078305,0.681303330210993
31,10.7678868279832,5.69069891578138,0.471512005401785,0.00684409427042685,0.309363084501053,0.633660926302517,0.372649410592756,0.687409646753972,12.495175227109,5.70125607594119,0.543723399446853,0.00670870903204128,0.383186249174743,0.704260549718962,0.347989341266033,0.703150933621463
