"r","smle_param_delta","smle_param_delta.s","smle_param_R.s","smle_param_alpha0","smle_param_alpha1","smle_param_beta0","smle_param_beta1","smle_param_beta2","smle_param_beta3"
1,11.5129237988534,5.70083421632501,0.504831759861666,5.07433070227568,5.99258753098994,2.65984453429054,-1.64829323887209,4.88118653540977,1.44829493511356
2,11.8460734655165,6.5353624553927,0.448309815533652,5.03551101392844,6.00388359774784,1.96429501798307,4.20112501345548,5.02060562247799,0.46355522517588
3,12.0883036747869,6.30278333253605,0.478604814860663,5.01307257218494,6.00041946986893,2.83671933741105,1.1973862296301,4.84124650575835,1.01841675527166
4,12.2376864734328,6.24485142232623,0.489703267371378,5.00993110420776,6.02908215148446,1.39002940292571,2.30663558059573,5.09414079331104,0.786081836219834
5,11.5011974772415,6.05747200383332,0.473318146582579,5.07183807626509,6.011853948072,2.86444275409494,1.23881237040547,4.84101800906051,0.950081520933792
6,11.5346450731204,6.16331437857914,0.465669351808513,5.02883838387133,5.96920575641673,3.04048584248347,1.58103276038769,4.8007484234524,0.911200811878926
7,11.5427694101649,6.29648637633423,0.454508172814284,5.12346642314961,6.04973337247997,3.40062207896712,1.68854490594379,4.76451997617904,0.899379656236282
8,11.7297898410774,6.05462061592353,0.483825311624901,5.00709821857744,5.98256141298021,2.20612972349444,1.86075331219946,4.98033806814234,0.83758438933031
9,11.7257710821834,6.19327015416868,0.471824060800659,5.01825713409569,5.97579889340537,2.11521231020542,2.22974655441158,4.98799611993563,0.789820747292444
10,12.3843116374387,5.96316366700862,0.518490503018226,4.96083861968729,6.01821919743665,0.981601428709266,1.46245448994406,5.1654456698148,0.907247649460579
11,11.7160661489132,6.41736018508628,0.452259819676625,5.06691603671366,5.98911294525043,2.65828054825413,2.07291371789322,4.88832815294082,0.857414339553734
12,11.6309743170106,6.43735468239843,0.446533496941558,5.07577661498299,5.98826113705076,1.32005364563946,3.60689499021596,5.13409378629866,0.557640713310224
13,11.9083504319918,5.98835852779653,0.497129467091531,5.02326528440525,6.01180703346192,2.51827217176691,0.64532092345851,4.92495265232454,1.06365825848885
14,11.5851896816898,6.27193248403031,0.458624963737713,5.04835013054485,5.99076731513128,2.51685479624791,2.58235090853506,4.90705457121279,0.730848986319625
15,12.3795597473825,6.98264148694625,0.435953973369476,5.04758397164413,6.05443419374574,2.16816666746708,4.96286958706558,4.96005343174778,0.400146270220993
16,11.625442346261,5.80454133936795,0.50070361484053,5.09098492168658,6.02831027726631,1.74404760192859,-0.062171274009767,5.05774512797701,1.15237281265295
17,12.2024912311255,6.20103443700057,0.491822258295644,5.01738588240844,6.01149233784698,2.5416921733991,0.465111048751011,4.89382680045843,1.14320953633652
18,11.7672583260255,5.97451465192423,0.492276409135128,4.9918960989844,5.98805138686949,2.84234875773723,1.13463510741821,4.84555373158699,0.969547332022934
19,12.0837706180535,6.30875349390155,0.477915156343991,4.95701566712951,5.97844157319203,1.98855772289371,3.24745304199606,5.03630842142646,0.617569250830755
