"r","smle_param_delta","smle_param_delta.s","smle_param_R.s","smle_param_var_R.s","smle_param_normci_lb_R.s","smle_param_normci_ub_R.s","smle_param_quantci_lb_R.s","smle_param_quantci_ub_R.s"
1,11.758640010876,6.31282589219226,0.463132991030143,0.000480431910549968,0.420172227215137,0.50609375484515,0.421581654660086,0.505953134949395
2,12.0064603571686,6.54796725511028,0.454629669334583,0.000576407184772729,0.407573045560422,0.501686293108744,0.4073440154841,0.501247410407101
3,11.8914507559534,5.99799224814579,0.495604668325019,0.000600895966815682,0.44755883660031,0.543650500049729,0.448989844421291,0.546557896046035
4,11.6125224169765,6.03944661884042,0.479919486742066,0.000566767361035129,0.433258009117021,0.526580964367111,0.43525248590449,0.525334405587114
5,11.9990073455859,6.2106398892748,0.482403859719319,0.000517037212194788,0.437836493245996,0.526971226192642,0.439066857047841,0.524397957832783
6,12.1969839390266,6.53202986117237,0.464455319952347,0.000578845587769873,0.41729926827309,0.511611371631604,0.411429691158713,0.510747917032759
7,11.8777868264863,6.09341469504826,0.486990734548247,0.000559058558727252,0.440647672940207,0.533333796156287,0.443693697937577,0.533324195755799
8,11.6684495453672,5.87361600948372,0.496624124169457,0.00052149981095227,0.451864838275307,0.541383410063607,0.455843829508064,0.543177278571041
9,11.8965928615074,6.06088184149235,0.490536331532122,0.000823390572529326,0.434294556814136,0.546778106250108,0.431952191102901,0.544900205360633
10,11.7961824153848,6.51519552405032,0.447686099228758,0.000586491592090641,0.400219625795656,0.49515257266186,0.398219103639612,0.489021391108849
11,11.7500797206967,6.17760273476444,0.474250142840891,0.000581313421935667,0.426993676175385,0.521506609506397,0.427807943384191,0.522705320532812
12,12.1498268171669,5.7435583171049,0.527272412723643,0.000630863789579305,0.4780430887993,0.576501736647986,0.477974952958855,0.577516119729761
13,11.8167177891171,6.09926060421498,0.483844777114654,0.000547106201247764,0.437999786300897,0.52968976792841,0.439616300340696,0.52839050240683
14,11.46769198869,5.6107191177147,0.510736848944996,0.000562283326305788,0.464260321252662,0.557213376637331,0.462100855215871,0.562215301038562
15,11.8514126789347,6.11919051231626,0.483674167958657,0.00062434555445306,0.434699828943344,0.532648506973971,0.437186241523934,0.532554117607686
16,12.0371766151405,6.56120081415076,0.454921945242709,0.000518889110398751,0.410274835520938,0.49956905496448,0.409897411770803,0.499967726689697
17,11.9700979288461,5.88385588070532,0.508453822543414,0.000612100007331017,0.459962138842362,0.556945506244465,0.461778459893714,0.55690871126613
18,11.7661277154008,6.34112930997417,0.461069141577122,0.000576991323121358,0.413988679951273,0.508149603202971,0.411934034172984,0.507132217772312
19,11.6119627478828,5.85068703578353,0.496150033994014,0.000631498964278951,0.446895933442141,0.545404134545888,0.445720347429217,0.545279043855673
20,11.762313268318,6.15332297151476,0.476861155527215,0.000653372603573145,0.426761293312968,0.526961017741463,0.422918260701045,0.527337580586414
21,12.0334279547092,6.0026280437076,0.501170566998867,0.000588272620169531,0.453632076302976,0.548709057694757,0.454038538820978,0.545714969945312
22,12.2311998800658,6.12381243308593,0.499328561945388,0.000463777121828295,0.45711901099758,0.541538112893195,0.456672280984443,0.539831869983723
23,11.4068042981475,5.70764034983334,0.499628449770083,0.000592097445903743,0.451935666792112,0.547321232748054,0.453535915662145,0.546221048650773
24,11.42240865074,5.60577912663819,0.509229681930962,0.000577202144649541,0.462140619943217,0.556318743918707,0.46543940387362,0.558674329370533
25,11.9056173750096,6.46021534817732,0.457380903090536,0.000495825883842778,0.413737292843783,0.501024513337288,0.414323497897958,0.504116169180504
26,11.5924632174406,6.13226218451941,0.471013013412581,0.000618034207838937,0.422286837563926,0.519739189261237,0.4241065408347,0.52143812175948
27,11.7776241280291,5.83014538392539,0.5049811981985,0.00066375205973247,0.454484961579636,0.555477434817364,0.453931969390984,0.555786762403898
28,12.1548910217758,6.27811505422919,0.483490634100975,0.000624666691075712,0.434503701553239,0.532477566648711,0.439381565663887,0.528862101183514
29,11.650948751272,5.73035968995472,0.508163685869006,0.000506148015609584,0.464068128079522,0.552259243658491,0.463395788677841,0.551615016071248
30,11.8781564057802,5.95349924342036,0.498785919292724,0.000582463839374111,0.451482715539283,0.546089123046166,0.453664642227101,0.544769554201233
31,11.8463686473759,6.11711977590512,0.483629122308286,0.000549273976883916,0.437693396455773,0.529564848160799,0.441599933587152,0.526860435325878
32,12.1698931450077,6.44768955908941,0.470193412360867,0.000491268898593815,0.426750822649409,0.513636002072324,0.426355103433294,0.513351169556457
33,12.1905827834889,5.92221415601285,0.514197617850233,0.000487353230524897,0.47092850449689,0.557466731203576,0.472499488032541,0.55502136642984
34,11.7077984591393,6.23607132375325,0.467357475829687,0.000512436381314337,0.422988842737635,0.51172610892174,0.425813430861096,0.509679944508384
35,12.5021188757348,6.6941320244311,0.464560200477404,0.000504466309610046,0.42053795865582,0.508582442298987,0.422284957114504,0.507192712204705
36,12.3602358876783,6.11573007601645,0.505209275001532,0.000565440872240468,0.458602433714024,0.551816116289041,0.45879440897348,0.554267081821599
37,11.8438419751001,6.05486074454483,0.488775622194699,0.000673402623680564,0.437913617523911,0.539637626865487,0.433729585509801,0.536883029644765
38,12.2756150543973,5.93314710356054,0.516672111558663,0.000616828227914479,0.467993499002878,0.565350724114449,0.46708911932165,0.561609910584365
39,12.4570897523408,6.01036607828373,0.51751442770537,0.000687534686579582,0.46612149772503,0.56890735768571,0.46179959897253,0.564968473784113
40,11.5863631053787,6.27896562713102,0.458072773136539,0.000582472906254709,0.410769201213606,0.505376345059472,0.409310923552818,0.502718466254016
41,11.8833210844223,5.76173890800382,0.515140686086753,0.000642219889749231,0.465470252945289,0.564811119228217,0.466247581683073,0.566519380767311
42,11.7100094497176,5.46719476016052,0.533117818253138,0.000649020990037802,0.483185073132033,0.583050563374243,0.483904655969387,0.584740202994851
43,12.1143401633912,6.17535775353083,0.490243986032984,0.000549073187877316,0.444316656929829,0.536171315136139,0.447007335004203,0.538940485835565
44,11.9528081767483,5.96861223118189,0.50065188506977,0.000715490162505531,0.448224535258043,0.553079234881498,0.447138171367119,0.550292726921415
45,12.3898751598473,5.74158631129948,0.536590463001063,0.00062582996630697,0.487557939115739,0.585622986886387,0.487697741388601,0.583350689634736
46,12.124565696717,6.16350905035565,0.491651148211887,0.000570375752218376,0.444841368360641,0.538460928063133,0.446091002377146,0.540543517528066
47,11.8482922205742,5.79092774229498,0.511243676768945,0.000607099571223666,0.462950471110045,0.559536882427845,0.46466993309016,0.558344380992241
48,12.3939754369572,6.23990400890528,0.4965373264902,0.000588930543168055,0.448972259743328,0.544102393237072,0.446833912718599,0.543983419144139
49,12.0138512890157,6.23028296963215,0.481408349433413,0.000580072112043645,0.434202364371909,0.528614334494916,0.436453969434836,0.528973535947951
50,12.1355354342467,6.58749151919061,0.457173393388102,0.000568323814872446,0.410447888926256,0.503898897849948,0.411618890852968,0.506513187788698
