"r","smle_param_delta","smle_param_delta.s","smle_param_R.s","smle_param_alpha0","smle_param_alpha1"
1,12.1682259080719,6.4650395584067,0.468694975976898,5.02211623376326,6.04379140382766
2,12.0082584532195,6.04883662697039,0.496276945525883,5.03624783271834,6.03250398053378
3,11.5955925308466,6.19983926139549,0.465327947243515,5.07020625560511,5.97778009839204
4,11.9632940529088,6.10654207530857,0.489560145533343,4.99985933278006,6.00050243431753
5,12.2515560832265,6.40758594121024,0.476998195357172,5.01017263723367,6.03928492961732
6,11.7086861151383,6.38059848207274,0.455054271732235,5.06914398764957,5.97072756529834
7,11.749205309887,5.98128416677644,0.490920108295055,5.0640448563047,5.99409612247637
8,11.5008834663122,6.18234689656265,0.462445914292439,5.07548688517278,5.99138114959862
9,11.7423843258917,5.9406568887512,0.494084274208928,5.06449379204348,6.02092477717439
10,12.0627949144446,5.94749997526174,0.506955061621756,5.06676874293159,6.02703024877529
11,12.2458335360653,5.43600010714453,0.556093908092503,4.97916174508429,6.03642628563956
12,11.9396866402713,5.95063694804346,0.501608616094448,5.07042130803959,6.03143565524341
13,12.0642172060276,6.29757715806051,0.47799537669845,5.03033719101489,5.99888349419044
14,12.1297638642804,6.1176057680649,0.495653350179392,5.02653681570554,6.05441286514019
15,11.8346611966311,5.81591173183352,0.50856964680247,4.99080395952464,5.98665134336377
16,12.1869011409539,6.02228796296014,0.505839270105973,4.93819118922487,5.98538487545202
17,11.783214545539,6.09193779962477,0.48299865235577,5.02314816841527,6.0169405282759
18,11.4447788946349,5.86241650906997,0.487764983225829,5.09543709768653,6.03067402977755
19,11.8699304641894,6.03826891656103,0.491297026989502,4.98112785257644,5.98595049572348
20,12.0616296881029,5.99853746918181,0.502676037625455,5.02924837984933,6.03409248828408
21,11.8384560460879,6.33653489141713,0.464749890800912,5.09807629006514,6.03433852457284
22,11.6909452040293,6.67254951188705,0.42925491519819,5.04688226686081,6.00409651827768
23,11.848971754242,6.06238664384415,0.48836179462798,5.01868881067086,6.01830625742664
24,11.6011170018227,5.97451440729519,0.485005245067653,5.05192809964575,6.01100217037343
25,11.9909857102484,6.89184575850585,0.425247771530946,5.05823044910534,5.99948620345836
26,11.694647734568,6.35548184788412,0.456547816391418,5.06768208144173,6.0086279724353
27,11.4731664734107,6.0094780065123,0.476214520164124,5.09744119649864,6.0036112299221
28,11.5986844265639,6.09312180704366,0.474671300385682,5.01271865314602,5.96717845927579
29,11.9957095712801,6.01644707494478,0.498450088409171,5.00083091369558,5.98335291357724
30,12.4992192812241,6.64715114725379,0.468194692988631,4.92082017254801,6.01786579953695
31,11.7760561918557,5.98886963985943,0.491436730405436,4.99163064186913,5.98071922988851
32,11.6259755688676,6.44903842065899,0.445290557987373,5.10106806419533,6.01642292060016
33,11.9263124773952,6.06664994539476,0.491322237540452,5.05246147313151,6.02749630281801
34,11.7746488152232,5.85563348217188,0.502691453981942,5.05688533494381,6.00240327846944
35,11.4980611117366,5.61425218376346,0.511721834733273,5.01728936605817,5.98483394291178
36,12.6516926693893,5.79443863089231,0.542002893817368,4.95578530676434,6.03594393318009
37,12.6222417798429,6.11823271960166,0.515281609533724,4.93612021430828,5.99929623944094
38,11.9135452893789,5.81180300994469,0.512168471367967,5.00893469535095,6.00707110347367
39,11.8794374197948,6.13821003900059,0.48329118441481,5.01074043603638,6.01178628032976
40,11.7301018114924,5.73574488445111,0.511023435548396,4.98443291509691,5.99017540055243
41,11.7173360824075,5.76748120810029,0.507782215382588,4.99269726086245,6.00592823155229
42,12.2788512477103,6.55100551572814,0.466480586532901,4.99904359753008,5.98602363829585
43,12.1501100455258,6.26024332265443,0.484758302665765,5.04351174672842,6.05686999038659
44,11.7310635254545,6.11522592861598,0.478715129677123,5.04253450670166,6.03113472377447
45,12.0186127922586,6.09844847250529,0.492582997895282,5.01416716093382,5.98976861567649
46,11.6779714464142,6.07070487687869,0.480157585182077,5.021694365733,5.99113208407373
47,12.1309943167987,6.3592743844381,0.475782922787133,4.98026809713084,5.96765729548031
48,11.9597613859457,6.64823426060578,0.44411647974697,5.03186553988409,5.97992072429906
49,12.2433294231757,6.6602371072038,0.456010952821666,5.00187380192087,5.99876287313609
50,11.7815747245993,5.40352058278128,0.541358374488003,4.99017500101113,6.02484009789868
