"r","smle_param_delta","smle_param_delta.s","smle_param_R.s","smle_param_alpha0","smle_param_alpha1"
1,11.758640010876,6.31282589219226,0.463132991030143,5.02216021810546,6.01214042639597
2,11.7800673334907,6.52031147872605,0.446496247080962,5.1037654359347,6.03036667834417
3,11.6742787241283,5.93076856555764,0.491979872529513,5.03521691588699,5.98775607477086
4,11.5005516832426,5.90076852984171,0.486914307038012,5.0097367793737,5.97768152900009
5,11.4377117083122,5.68904079469161,0.502606732904695,5.0152431897767,5.9989948761884
6,12.0754929521659,6.18100317812277,0.488136575243155,5.03633782793997,6.0142915058221
7,12.0988338732235,6.12297100909927,0.493920565133941,5.03247388193192,6.03894577682427
8,11.8853727406806,6.31878930500053,0.468355814927627,5.01689689578807,6.00965295906541
9,11.4535749766569,6.06420577048147,0.470540352436626,5.07502785453097,5.9872604708731
10,12.0733984015606,5.89509554075535,0.511728566830584,5.01340754692381,6.01226748013756
11,12.1934875986654,6.26193800235211,0.486452259726127,5.01951159070392,6.02600470186615
12,11.5872708797208,6.34349216390599,0.45254648572962,5.08091571801874,6.01611318439124
13,12.3556110350493,5.56585984208505,0.549527754936901,4.96119656262849,6.00622030236717
14,11.166970166849,6.01285362713426,0.461550130671577,5.06453443492433,5.99142670209119
15,11.571443169967,5.55684921027323,0.519779069157447,5.02971146897199,5.99433185528544
16,11.8579618799078,5.90100810550524,0.502358991767045,5.00157702903574,6.01487758488393
17,11.6790010805582,5.9872398933513,0.487350000907342,5.03788151243571,5.97842203013401
18,12.164770584655,5.69792861045498,0.53160410459014,4.96971556198018,6.02391241400514
19,12.272606816932,6.13132659829393,0.500405521846037,5.01093557421078,6.02153999259181
20,12.0064196058062,6.12194823031463,0.490110421648588,5.02759134984623,6.02484208681115
21,12.0179102435248,6.03984535214968,0.497429650433284,5.03167241807491,6.01278952233752
22,11.6356827263501,5.73043819005103,0.507511649739821,5.03265175202698,6.00496946883929
23,12.0640867982228,6.19535701408507,0.486462828251723,5.02186694911915,6.03407189414055
24,11.8566765296312,6.26742300647917,0.471401366916254,5.04821256574514,5.99429880025211
25,11.8592255115152,6.58462330837568,0.444767847446522,5.04366135149503,6.00601077014789
26,11.9316705089964,6.30412697280231,0.471647581279666,5.05451651647106,6.01595830066446
27,11.9265805734877,6.04083560398228,0.493498109809378,5.03409949531015,6.01653750319728
28,11.936375511337,6.17728115869015,0.482482672162663,5.04950374374695,5.98657826584505
29,12.1646245792372,6.26459535150952,0.485015315458068,5.04246547741537,6.03693473107371
30,11.9002308364015,6.40996173266887,0.461358202139953,5.03780017198924,5.99127225647855
31,11.9897713453469,6.00453271931309,0.499195393609955,4.99679397991916,5.98971601425885
32,11.7864057139716,6.2841851957564,0.46682768706094,4.99105217614685,5.98062918870089
33,12.0539523527611,6.15945891481698,0.489009186816133,5.04382551001823,6.05776946004316
34,11.9025549563127,6.36487439495224,0.465251417169344,5.04857009526676,6.01703926670211
35,11.7689167041382,5.84553400634291,0.503307385607761,5.03215612591191,5.9965612968588
36,11.6368429804525,6.11961986511141,0.474116830880068,5.03675964728085,6.0149942374606
37,11.8839226220719,5.9193561296829,0.501902164972958,5.03815221879364,5.98485038766003
38,11.7883274445174,6.18290543699489,0.475506133834917,5.03828958094273,5.98335337355413
39,12.0654097811304,6.28929062201494,0.478733773978317,4.97784420944786,6.00995270818496
40,11.8111109343298,6.46702247286407,0.452462811599946,5.05411846466486,5.99555801514027
41,11.9170708949478,6.37587536946902,0.464979656018322,5.05090445176496,5.98929269044752
42,12.352963844943,6.26662356859556,0.49270283251408,4.96564567539722,6.0098115617739
43,11.9426982290127,5.81155159210437,0.513380353362174,5.00138651672262,6.02264103735677
44,11.611196639407,5.82645199309733,0.498204003080695,5.01149564119873,5.96032120079715
45,11.9040892444247,6.16929303558549,0.481750102094129,5.02525877969582,6.03337662677002
46,11.8678619432376,6.20827391708952,0.47688354087848,5.03724111909058,6.00309377513066
47,12.2023600254911,6.2091324059563,0.491153154554919,4.99480254108285,6.03570526772507
48,11.8939244867616,5.89294513551873,0.504541571448698,5.04000742395014,6.03488073578835
49,12.1992646495072,5.70033922722548,0.532730915264162,4.9886455609871,6.04219489400556
50,11.5278772906948,5.44733900401795,0.527463828191943,5.03386795513078,6.01466434622755
