"r","smle_param_delta","smle_param_delta.s","smle_param_R.s","smle_param_alpha0","smle_param_alpha1"
1,11.9962846743214,6.15886642914136,0.486602177562135,4.99226033358527,5.99938824193913
2,11.8967795249944,6.39870758395237,0.462147922426479,5.05034123697385,5.99334663221378
3,12.0967210554744,6.56697965399156,0.457127297234015,4.97655384925249,6.00964893049776
4,12.3767505722939,6.3986687340381,0.483008993623748,4.99944363368319,6.02437621949154
5,12.2924608513147,5.69185683805216,0.536963598509782,4.92967906706685,5.99478400252811
6,11.8879575245908,5.49505099412213,0.537763237902276,4.97892270877783,5.9907377465156
7,11.535997076848,5.91688938086954,0.487093370303957,5.01179522315116,5.97739853288445
8,12.1413376657259,5.3899814111249,0.55606362663478,4.98817116166953,6.03441975559936
9,11.6325820924262,5.85881357996865,0.496344531814375,5.04546309766127,6.01376245632106
10,11.3658951323408,5.83653924315393,0.486486618502531,5.07411294621985,5.95992222225374
11,12.0508097635378,6.65676851624178,0.447608198381557,5.03902751365442,6.01765595563591
12,11.8662261028055,5.89797114485715,0.502961506568402,5.02625053930754,6.01962607104258
13,11.7924110817845,6.30973387746328,0.464932672911158,5.10885031928914,6.00744177392063
14,11.8778141651867,6.32692143019381,0.467332849108068,5.03770959273389,6.0004124472071
15,11.6208671508605,6.09802543265704,0.475252117290965,5.08753899082927,5.9962320512881
16,11.9150541256266,6.33471012923011,0.468343990514857,5.06568861409208,6.01026311520517
17,11.5525658748687,6.67634782593261,0.422089612104594,5.07716772737494,5.98936549581463
18,11.8134995354938,6.2054479839797,0.474715518010955,5.02227010910743,5.97194963245163
19,12.1098109801286,6.11685618704742,0.494884255659748,4.98696546702982,6.00170951905128
20,11.8549511783353,6.70176770203279,0.434686182910635,5.08232513210375,6.02929072121822
21,11.77744011057,6.0848062741977,0.483350692759058,5.02773130402646,5.9906559406851
22,12.1170134875717,6.38448143196741,0.473097769634746,4.96116823884994,6.01958288136952
23,11.5669833450677,5.93774018311858,0.486664758996952,5.06118333478896,6.0425479058239
24,12.5440259953342,6.17951529291602,0.507373845110451,4.98749163254358,6.02451497812522
25,12.2618657139339,6.32369494065525,0.484279546996729,5.02598637911487,6.04639231346587
26,12.1549743338697,5.783103498628,0.524219192918125,4.96828046717136,6.00839228680073
27,11.9944452578196,6.0029768949048,0.499520255762455,4.98068992426096,5.98717423495049
28,11.6521290601311,6.12249223775398,0.474560210742715,5.06410048262135,6.01408672463952
29,12.175871063531,6.51052769363619,0.465292654655614,5.00486931619645,6.00392619820108
30,11.3897684548315,5.92100846690402,0.480146722000099,5.05204478017399,6.01338927657459
31,11.5783680696702,6.19312649459163,0.465112314850771,5.09897754735552,6.02403471399231
32,11.6024825257594,6.12066320964995,0.472469517100233,5.03516407972157,5.96399174070919
33,11.7030329134911,5.70662237470551,0.512380900157344,5.02728062764611,6.00161534182265
34,11.7545691393545,5.82912035380493,0.50409748884041,5.02217759003772,5.98613832593541
35,11.9117378727023,6.32735738748191,0.468813244960495,5.0356285933374,5.98724453315604
36,11.9224912034148,6.08344756165704,0.489750299843825,5.02593354553635,6.00276086621234
37,12.220389854005,5.99081216565782,0.509769145074007,5.01157751249002,6.02478107297486
38,11.8534230342481,6.16055750436232,0.480271860156967,5.05946705132205,6.04138328885905
39,11.7299225767024,5.77727452577305,0.507475476671286,5.04503133942312,6.01783230318576
40,11.6098423338462,5.89977956312273,0.491829484546651,5.07051121930333,5.99317581097748
41,11.7861668722976,5.57308686190255,0.527150181879603,5.01730179848364,6.01150705973924
42,11.9469880697158,5.76899478937872,0.517117221870971,5.02174172911772,5.98745325351273
43,11.652207119056,6.46875978021682,0.444846824801301,5.10139386433771,5.98625972275048
44,12.022963819478,6.20137867480769,0.484205494758201,5.04261096318054,6.00945858599779
45,12.0115995976556,6.19752784316194,0.4840380922811,5.02693651408689,6.00770022326597
46,11.4427976290593,6.00100962729193,0.475564471047518,5.0932980082001,6.00225286536818
47,11.8708187487029,5.76528064670095,0.514331675956983,5.00409473542544,6.01781553868471
48,11.5840985882213,5.99546070297654,0.482440462905526,5.09063213174542,6.01324127491395
49,11.5957936299676,6.28530696424765,0.457966641627339,5.03665428076156,5.99641497576056
50,12.2069183066509,6.2040034640125,0.491763333860251,5.02921653273147,6.05922118250903
