"r","ipw_nonparam_YZ_only","ipw_param_YZ_only"
1,0.457435868654484,0.467014769450195
2,0.485970174823798,0.483815347386656
3,0.511136895380633,0.500188501693642
4,0.528110797455483,0.523334805891605
5,0.450889597377141,0.456619624330809
6,0.506766835618626,0.499866096546825
7,0.494532915188905,0.495504346607502
8,0.500461132124204,0.494672461449967
9,0.49393314588237,0.499128733859326
10,0.511408848269014,0.500958847789424
11,0.512336340919549,0.506970475078045
12,0.504279289190015,0.500877142559002
13,0.517395471847983,0.503833721961559
14,0.506758352555155,0.516076274849823
15,0.514042581672589,0.514226252603528
16,0.55603668344981,0.554863000303683
17,0.494759348308935,0.501668173365864
18,0.466827694814673,0.465897023507587
19,0.495959867920847,0.516353961733154
20,0.515378247525102,0.515862574357135
21,0.49231085398551,0.496918818690556
22,0.443404920520248,0.438677723786116
23,0.508050970003213,0.517203753596861
24,0.482205585401749,0.484217669233506
25,0.530543168917961,0.52943476225273
26,0.455771167312364,0.46526297419113
27,0.4890653269564,0.490089642877855
28,0.483037197029937,0.484277783313726
29,0.464068380299045,0.465717504295764
30,0.503905504277797,0.51321113451791
31,0.468003698404396,0.450135103078663
32,0.517122772974435,0.516646389318999
33,0.513788707066972,0.509112064707497
34,0.501024448913398,0.501696922297677
35,0.510545701645519,0.518267022404078
36,0.507272678889855,0.515221537696755
37,0.501677049345266,0.487326726255619
38,0.4984792473644,0.490911710763556
39,0.523131568847806,0.530368722714591
40,0.517233416455137,0.511248361320441
41,0.489338996441667,0.49209739066249
42,0.480732241078479,0.48557664681257
43,0.522568019356477,0.504660608065628
44,0.518961703428757,0.509700041742684
45,0.528669686094122,0.548820073231093
46,0.481108146942563,0.478863800251098
47,0.489503942221559,0.481312908241938
48,0.49690515427638,0.494446332966031
49,0.460185839362741,0.453302510194745
50,0.459316872350103,0.468152169543668
