"r","ipw_nonparam_YZ_only","ipw_param_YZ_only"
1,0.503096204607444,0.5145011847291
2,0.473107001605977,0.471845416198656
3,0.512087929882565,0.513302555904087
4,0.499795576799642,0.501061379580514
5,0.536348145043103,0.520896912097223
6,0.487206848808684,0.47816242588856
7,0.511154432340471,0.514037331283184
8,0.507446699892026,0.506772822129373
9,0.48454996469207,0.502891736863548
10,0.480825942024714,0.484748703427255
11,0.474639711958305,0.47548011890376
12,0.494310522568456,0.503532056322698
13,0.504712527484972,0.503106735831444
14,0.461136935555155,0.45529243748752
15,0.505586073726825,0.512402365154397
16,0.473669392707792,0.470425647681391
17,0.494196588728373,0.49872910848914
18,0.475351641665116,0.486709874976968
19,0.513279162281826,0.516988270623278
20,0.503321763456806,0.509850241365464
21,0.506780248553124,0.520996400560441
22,0.526190966678403,0.518409254158763
23,0.49993665442865,0.493770064037243
24,0.474951288507618,0.482445557083963
25,0.494616197216117,0.496644003629833
26,0.487572704972286,0.493996393121604
27,0.494623221137312,0.495739544116278
28,0.446621152326688,0.457563607818985
29,0.510417319304764,0.519716443738169
30,0.464118152153477,0.467818237527478
31,0.529805249599444,0.522470590517805
32,0.474015095972581,0.468988328988247
33,0.526864908573088,0.525531306534541
34,0.499391960692683,0.490351089316278
35,0.485949897951138,0.481953818710252
36,0.506509802731761,0.515818722880064
37,0.469448415834769,0.472431964284455
38,0.473242296412462,0.478932840458124
39,0.513361299545581,0.517328715986382
40,0.512551010956781,0.503151319528375
41,0.51508073961303,0.511460299751959
42,0.468986992906345,0.470182646006231
43,0.477218284880264,0.489839477934181
44,0.509760392207275,0.509664661882747
45,0.508870520586258,0.525349028064969
46,0.51241916115738,0.518492226832833
47,0.477439324731781,0.492468795596007
48,0.51516180393216,0.514682914935023
49,0.51004590653315,0.513294096516908
50,0.46688601661158,0.469591480299614
