"r","gs_nonparam","gs_param","cc_nonparam","cc_param","ipw_nonparam_Yonly","ipw_param_Yonly","ipw_nonparam_Zonly","ipw_param_Zonly","ipw_nonparam_YZ_main","ipw_param_YZ_main","ipw_nonparam_YZ","ipw_param_YZ"
13,0.502336730934497,0.496450865506826,0.544415867445665,0.543063266568332,0.530025492675084,0.238612525538146,0.490814206059755,-0.00734906066254482,0.522076993949193,-0.121073363251757,0.512972947969903,-0.15360807344333
14,0.508447936326203,0.509837794770481,0.555423068999175,0.557691116572103,0.556166054700321,0.181701876830436,0.497471098272498,-0.75726519695203,0.540571589005006,-1.10470286064965,0.521893621102328,-1.33329411819507
15,0.510043130407833,0.510507066240886,0.535814497117095,0.542418747787125,0.532315510675367,0.149197876201826,0.48224349845279,-0.496301900541818,0.518965028684981,-0.722814089023982,0.50257279132387,-0.854296205713886
16,0.491671716783523,0.491011386406636,0.54136427776769,0.541151025844247,0.542352183754208,0.209951560041756,0.493671260451417,-0.415543083782887,0.528462989977397,-0.612717590324904,0.500153871705303,-0.805143220509067
17,0.453006418334843,0.459420597073273,0.494017671287963,0.499390080848352,0.486153067383839,0.220937740260688,0.443347278064995,-0.240176243210908,0.474769549372256,-0.394968543641377,0.454697414079281,-0.51519934049676
18,0.471122875622187,0.472671841881831,0.502107478170382,0.510527977797645,0.497281249193453,0.161394579434331,0.442556135477309,-0.633550517538726,0.482646298324484,-0.827697496917993,0.474083730243548,-0.891806542024974
19,0.50469396648431,0.506961428612423,0.532698481546308,0.53956090060063,0.533818009722988,0.264599179257013,0.494649506230438,-0.252474169742522,0.520067223177549,-0.371425584028847,0.506538433081904,-0.457640915896896
20,0.482851832146115,0.49448440018388,0.486709854430051,0.496761378102732,0.473990292129431,0.163887329309078,0.431393482875505,-0.522973042369744,0.4619947352806,-0.649483976078934,0.476058455705718,-0.551370841009349
21,0.500586444928117,0.501611881693514,0.538619394701491,0.536779245471889,0.526323766200186,0.202297862622382,0.485423861880614,-0.0351755417620427,0.518108084083082,-0.149971909764925,0.504069881733412,-0.202002688929427
22,0.524594985127401,0.517881931533343,0.532102513864985,0.531247402306432,0.530428533036783,0.252041353669841,0.495860662728332,-0.356634104129429,0.517113848268882,-0.47839463284818,0.51078636312542,-0.521759207838514
23,0.506185326442534,0.50429082049299,0.549397580069652,0.546979582779793,0.546431637808589,0.26155441495986,0.500621310356577,-0.0424947425837541,0.536277278478076,-0.15944746275429,0.513199159167719,-0.244653941132076
24,0.494985219027967,0.493116637282323,0.505477801294596,0.499739968972209,0.489259358226392,0.225296236371861,0.451999472492986,0.0131572222769192,0.482331511938341,-0.0737307962915008,0.477197557424687,-0.0896225980452363
25,0.486207898340559,0.482553977193896,0.489141024842058,0.485775905661855,0.464005454149631,0.141485862693365,0.420461847715589,-0.250854088752439,0.456091911955183,-0.366629216470892,0.477030140894054,-0.28299054953178
26,0.498129647950234,0.505936836394367,0.54224772569256,0.544525072608659,0.532064179243278,0.291540972612889,0.493951318891516,0.116296061507055,0.524366718881847,0.0257703367223983,0.501628755806005,-0.0411041762776179
27,0.52261038334195,0.524175100721304,0.540324489272924,0.542238951519717,0.542100614765298,0.15738330969139,0.494829028979327,-0.675475330908725,0.526663788845127,-0.90168655063472,0.512454435828767,-1.04385194692974
28,0.497082123383859,0.490488606608356,0.533868382345108,0.527184032402428,0.522814927596034,0.204356640239199,0.475125233232552,-0.181229481064729,0.512662530173818,-0.320015700664029,0.504189175879606,-0.362716328245563
29,0.516384593929191,0.513867599382461,0.542671941053525,0.541915632806233,0.534439285698198,0.237643933466623,0.492919067348223,0.00422313070341418,0.52530930233335,-0.104133179455781,0.504165734191808,-0.177571673815384
30,0.497355825127285,0.499623907157658,0.535804214604932,0.539531059899654,0.521839007589608,0.233063416383157,0.469575834736624,0.0235270056473207,0.514188353907822,-0.09698535845086,0.499896258329763,-0.140409681323143
31,0.504875413302571,0.510708907272656,0.543692764491964,0.546273078518984,0.512411586497009,0.0978202320523942,0.467928551409712,-0.106314628001706,0.5065086697142,-0.280057607371499,0.505534827469133,-0.28366992205673
32,0.488145067720472,0.496193550705446,0.530241309862487,0.542970963492095,0.530143550153672,0.223154002128419,0.483940541253644,-0.508643398281315,0.515776015881391,-0.741608381450765,0.489588094726558,-0.999241057098977
33,0.510726792302086,0.515675237733421,0.543807401596023,0.54831086974053,0.543303015086695,0.277449822538318,0.502124945125104,-0.0492489304420245,0.532087924909186,-0.134614871913027,0.511451512821749,-0.213059446241945
34,0.495737473721677,0.494793708107416,0.525951986266505,0.52749092231526,0.51740943600457,0.253561433643021,0.483911030420189,-0.10840779420761,0.507581458406266,-0.209753003911134,0.496906348302819,-0.258608250316443
35,0.49900639837103,0.496518683204622,0.523967146718803,0.522603409455692,0.512235935003506,0.162051615437063,0.465003190388671,-0.451240441296578,0.500932418948062,-0.64342922500609,0.497549921266039,-0.6661220754015
36,0.462333519513334,0.465824137210288,0.496071018056217,0.500238562454306,0.468271709992026,0.0876247174517432,0.426061380986826,-0.269794368856933,0.461275765355029,-0.448192294419585,0.46099532499585,-0.449562254069367
37,0.549806016835053,0.534629604328176,0.581354121658801,0.566289084759768,0.564557461021488,0.200942856357796,0.516572130160022,0.0405317068356704,0.558217831934033,-0.094187134256891,0.552393750604441,-0.112186056329242
38,0.496705677008072,0.503363075940276,0.533443234066594,0.546026072017344,0.521723315306623,0.118401665576121,0.468616102930115,-0.331098249525295,0.510960227354457,-0.545730910024117,0.499231449502527,-0.61393274179925
39,0.480922750558122,0.482978046824214,0.527955463059829,0.526072409554033,0.51436610941761,0.152847172282007,0.468923704066586,-0.468673701478878,0.503383573476275,-0.723072037687323,0.489878032948028,-0.836206558230413
