"r","smle_param"
1,0.497805296851778
2,0.471021955146755
3,0.498883506473509
4,0.478323623907712
5,0.499964879019795
6,0.53304195721084
7,0.483712770129332
8,0.478969469881786
9,0.466837374449919
10,0.4854917252521
11,0.49035561598182
12,0.48499637039031
13,0.517229748631079
14,0.523707542641537
15,0.529308362149272
16,0.529541696378954
17,0.510973004257727
18,0.4747185822258
19,0.49878880476494
20,0.502493150370988
21,0.48526761092704
22,0.473798031797528
23,0.51145826213521
24,0.539336726053824
25,0.499248430654215
26,0.449338165708898
27,0.487505216411351
28,0.507792880888671
29,0.496856673823275
30,0.507449533625722
31,0.509481201323474
32,0.508120773910568
33,0.513997155287058
34,0.506036235954007
35,0.47474639561267
36,0.50907797483459
37,0.469672774333343
38,0.466305721858945
39,0.494757116122556
40,0.505957473327848
41,0.541183797614074
42,0.51847981075578
43,0.481725417399413
44,0.485227904532752
45,0.507746435432958
46,0.51553072778751
47,0.478308712319638
48,0.476603033162596
49,0.498904812703778
50,0.507315720914753
