"r","ipw_nonparam_YZ_only","ipw_param_YZ_only"
1,0.476440692906527,0.468668117883643
2,0.537915419899202,0.541114313965774
3,0.506531805101401,0.516826193531084
4,0.460935246000566,0.46765544461513
5,0.466076552929291,0.472408805157868
6,0.477941072667544,0.480665108248655
7,0.536852444988206,0.536977069967895
8,0.513588365548608,0.517141522095393
9,0.515697485951391,0.518460290189337
10,0.470011091380473,0.468358131369372
11,0.497824546996268,0.505900785553519
12,0.471710580677772,0.473997191763544
13,0.499469314038914,0.504215076535675
14,0.564629692809079,0.555767983151371
15,0.504372976545749,0.504333920129496
16,0.48065521270412,0.475630610091189
17,0.462457077979396,0.444046286900822
18,0.525245863236272,0.537185464184113
19,0.480020565013157,0.485912277360063
20,0.516688154462985,0.513347400064691
21,0.471212125533895,0.474818413527456
22,0.503906076471001,0.504059427965169
23,0.515937286256554,0.523631817826951
24,0.435279690642939,0.453428640189718
25,0.498612647978224,0.49964830578055
26,0.506764857052871,0.510963148875564
27,0.500285150736201,0.502412035853479
28,0.515357903652835,0.519356830663749
29,0.509685628543373,0.500435844899734
30,0.497210909079161,0.495453637370882
31,0.492148294530616,0.489877264159301
32,0.466112162908029,0.473068477066565
33,0.512275694415588,0.518815912774872
34,0.459002544309834,0.459261679751736
35,0.535113963234909,0.538485386895302
36,0.494577836885146,0.489715751904454
37,0.494616937639795,0.496027435001303
38,0.520014381382896,0.51860588588263
39,0.490392387319603,0.502369727620542
40,0.465600462907272,0.474681607943788
41,0.486381178140554,0.475961389411977
42,0.461718746244274,0.446487780153854
43,0.504636858213304,0.506997463747754
44,0.48613025870414,0.473998834680052
45,0.539904915346837,0.549348661221664
46,0.491354240738295,0.496817189646623
47,0.45571028557569,0.471458664870652
48,0.480152885716611,0.475829003442606
49,0.498068938704031,0.507449675143653
50,0.475049980886027,0.47426181774564
