"r","smle_param"
1,0.496389288470362
2,0.495837662020283
3,0.504833523404056
4,0.517848029085279
5,0.542969416180642
6,0.490968009399288
7,0.51441894876599
8,0.46843186166527
9,0.467446831885287
10,0.503966500539138
11,0.497752689940207
12,0.483099806108545
13,0.545577354388178
14,0.51524807747238
15,0.490704472965946
16,0.502458968000248
17,0.527548726669486
18,0.495590102397339
19,0.465604806151581
20,0.476401376350638
21,0.470240594629297
22,0.520191517664681
23,0.486389069772987
24,0.556371372055832
25,0.483372031174482
26,0.476768617697865
27,0.477446159755802
28,0.509775258492391
29,0.47872629647823
30,0.513379925606226
31,0.503690589399539
32,0.490108044588987
33,0.531342212958988
34,0.545461391164748
35,0.491057908754862
36,0.532572499338278
37,0.537230779861967
38,0.518651444770575
39,0.53843044580796
40,0.485993874581422
41,0.484832557294495
42,0.492936081231011
43,0.50452714440101
44,0.505707049721713
45,0.493526318705012
46,0.512517618628306
47,0.510129193955679
48,0.475635898364097
49,0.494595446986965
50,0.514401700455
