"r","smle_param_delta","smle_param_delta.s","smle_param_R.s","smle_param_alpha0","smle_param_alpha1","smle_param_beta0","smle_param_beta1","smle_param_beta2","smle_param_beta3"
1,12.2263177343154,5.94830382940068,0.513483621261888,4.95139022744963,5.97594389124766,2.15589895025939,0.138517137838779,4.95419512329661,1.17336473690833
2,12.5561886701098,5.62977356002132,0.551633564297813,4.94530471612807,6.10427573612218,1.31132937260648,1.71005117170715,5.18373390180525,0.79261493746398
3,11.6016917121473,5.60074497560722,0.517247560565407,4.95186259011742,5.92251503042025,1.35928382563397,0.521583678809257,5.15667740149827,1.02570723729988
4,12.4340141368717,6.17498424301782,0.503379666852189,4.96664616949223,6.00391394168732,2.75158879116972,0.202727085028484,4.83167769921606,1.20247284670168
5,11.8801866667251,5.60740629043261,0.528003519832036,4.99053775124052,6.01553010278576,2.64862471700492,-0.427556837173367,4.91055026928723,1.2092811292943
6,11.6696385337324,5.89560693518508,0.494790955337376,5.01785492696717,5.96953467792988,2.42656617819673,0.306665866507287,4.95338941275055,1.1138108115963
7,12.8904035663184,5.90702712900982,0.541750023680842,4.96856171417184,6.14622141172476,3.05380795024089,0.428608883982886,4.82725986744209,1.10261652369152
8,12.5617154615777,5.83019077432232,0.535876227084188,4.99213682787959,6.10113031482217,2.28282324253856,0.199452148866234,4.94201915299665,1.12792153332218
9,11.4804976798573,5.76698534585388,0.497671137029876,5.0705589909893,6.0206443194397,2.44157072248494,0.315941669634596,4.93864534820553,1.07503801571111
10,11.726029041422,5.96175355020553,0.491579499833599,5.00691345306231,5.97381419935519,1.28682437794446,1.95800193820383,5.16195534095536,0.799644661233945
11,11.8686801064061,6.37988924667932,0.462460089118437,5.01674193704505,5.94123094926024,1.70708224454122,1.91135144129456,5.04638266044975,0.890725068472788
12,12.2931825559431,5.70011332602123,0.536319150872322,4.95691229421883,6.0446689692973,2.37420563974546,0.145704799583674,4.9406238338541,1.12053798751202
13,12.7653434818307,6.05210599980677,0.525895561806002,4.97533516255841,6.09184399322236,2.04890974221076,0.948971222411856,4.98701769696154,1.02568663429918
14,12.2412273804214,6.08244948330564,0.503117678131371,4.9707655812875,6.00816737004503,2.91185001194319,0.515452850049914,4.81678591717302,1.11994752965474
15,11.9479889504616,6.12251353678225,0.487569534742018,4.98388937684106,5.96360312116375,1.08850385654778,2.17502735037989,5.15405018969293,0.792049318900493
16,11.9273642953323,6.22644784560268,0.477969508482327,5.03667310119095,5.98338977687391,2.02879770967169,0.976055080595705,4.97934402733632,1.04243270498645
17,11.7697629403615,5.86918528826439,0.501333602214071,4.95219384032648,5.9379640558289,2.36781541653611,0.722084750115329,4.94639598924129,1.03935764715739
18,12.0048965259263,5.9370706218926,0.505445914584051,5.00160881300724,6.02728510308136,1.98685426414619,1.39878364673444,5.00856141140386,0.907365438767589
19,12.3047390792512,6.06570297735252,0.507043348234766,4.93773703556788,5.99050010473851,0.902627587678504,2.453953121855,5.19488547698112,0.731458526341338
20,12.1724129640465,5.80554598952259,0.523057095855165,4.9685490061343,6.03302609649019,2.64252532116369,0.46784518014123,4.9069178880952,1.07429770800113
21,12.7741431037569,6.3643119319415,0.501781694455125,4.98684154713472,6.07564010300769,1.46465127877095,2.56671183240106,5.12554391648298,0.761524115744648
22,12.1498372100698,6.01863582785399,0.504632389406359,4.95698642639844,5.97609695993722,2.65106079597532,0.266095528512467,4.85573661757586,1.16049143663302
23,11.382747110329,5.92939652157926,0.479089145695001,5.0257121078605,5.94120321424485,1.79118888044978,1.41543190078078,5.05857470890273,0.898174134116911
24,12.1270409934236,5.76742848493455,0.524415849829963,5.03612267845166,6.09848050203955,0.271768529812705,2.48295748894333,5.33413621930517,0.652182483569089
25,11.9445632880638,5.78837485613382,0.515396694166445,5.01872708183939,6.03897744979606,2.04781174387622,0.615479558895629,5.00327916792589,1.03071858917307
