"r","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_nonparam_var_R.s","ipw_nonparam_normci_lb_R.s","ipw_nonparam_normci_ub_R.s","ipw_nonparam_quantci_lb_R.s","ipw_nonparam_quantci_ub_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","ipw_param_var_R.s","ipw_param_normci_lb_R.s","ipw_param_normci_ub_R.s","ipw_param_quantci_lb_R.s","ipw_param_quantci_ub_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s","smle_param_var_R.s","smle_param_normci_lb_R.s","smle_param_normci_ub_R.s","smle_param_quantci_lb_R.s","smle_param_quantci_ub_R.s"
1,10.9939576473635,6.18251465051513,0.437644308917476,0.00714731984813855,0.27194233569866,0.603346282136291,0.362834878451214,0.691729580252959,11.3517912945798,5.98239802158826,0.472999646809514,0.0106409707209064,0.270815688194015,0.675183605425014,0.262941616728427,0.652748052782802,11.6224344762291,5.80561877946543,0.500481694145971,0.00558300245887472,0.354031490165188,0.646931898126755,0.369291842242009,0.644067949380415
2,14.0015648298619,5.90949624402131,0.577940300542851,0.00279827651713496,0.474258773411806,0.681621827673896,0.54244635474318,0.747692367867136,11.7729624465472,6.18469493944725,0.474669611193644,0.00970520787355429,0.281580184846559,0.667759037540728,0.250518743686948,0.64677048606007,12.2631358238387,5.73553562338055,0.532294536587365,0.00452934746729735,0.400385699770533,0.664203373404196,0.397410291264163,0.672236302315573
3,12.1902874447477,6.2555405386887,0.486842244939518,0.00299898057091125,0.37950686511901,0.594177624760025,0.514092604130367,0.725717678988475,12.459716959226,6.11223088865862,0.50944063106243,0.00606093829637053,0.356850655771335,0.662030606353525,0.382205806062464,0.677649145767686,12.5453691952904,5.91335383647379,0.528642501912681,0.00487083664272118,0.391851398230176,0.665433605595185,0.388921107137646,0.669789964072906
4,12.0202250849496,6.3347329940977,0.472993812567673,0.00371654065456812,0.353505475987951,0.592482149147395,0.473050568269979,0.716401886229045,12.1569168103369,6.20570318665151,0.489533137104725,0.00773911862285696,0.317107506464825,0.661958767744625,0.302554298967542,0.654335502544183,12.4205661426674,5.65126447245224,0.545007497440968,0.00406253010015721,0.420081056553684,0.669933938328251,0.430744856690309,0.673204027033398
5,13.347183997501,6.02357201174757,0.548700908530567,0.00191366420796702,0.462959830736279,0.634441986324854,0.601665656443882,0.765364027262253,12.5745078697063,5.88167703092156,0.532253898771551,0.00702663787795712,0.367956813977084,0.696550983566017,0.364387421542931,0.684942324843155,11.7162875161519,5.97885590104575,0.489697065490806,0.00567870231402728,0.341997022127349,0.637397108854264,0.333412386743025,0.626344242384266
6,11.4633441121351,5.53644344386747,0.517030685835681,0.00421229807475971,0.389822335936797,0.644239035734565,0.461918809077103,0.719488892666385,11.3652340558475,5.40142272452887,0.524741620103303,0.0109468695188063,0.319672134456496,0.72981110575011,0.309597737596745,0.682518159805097,12.6466960536279,5.81641845268543,0.540083953309142,0.00422117625315787,0.412741616695856,0.667426289922427,0.408276248542564,0.661246834461645
7,13.5811815876609,5.99216899110776,0.558788832000311,0.0028838536665511,0.453533845204327,0.664043818796294,0.540223936227272,0.747969464513098,11.7238612178223,5.99874013094891,0.488330677112609,0.0086183368724491,0.306374080834264,0.670287273390953,0.301049684994384,0.655524386220425,12.0852517598278,5.92821769366864,0.509466760686407,0.00602084538929829,0.357382311621,0.661551209751813,0.362552143763458,0.653265496893279
8,12.1872412872521,6.05633079034022,0.503059745220998,0.00263963001413439,0.402360178874868,0.603759311567128,0.533551804870581,0.736595925840575,12.7710546430182,5.94595555990997,0.534419378343154,0.00531455500525248,0.391533429040299,0.677305327646008,0.407487032253086,0.695598744846556,12.1917117763539,6.09186509158436,0.500327336855218,0.0046015183759579,0.367371731508622,0.633282942201814,0.383022637080232,0.642438896879109
9,14.1532004303241,5.74021054311151,0.594423143276289,0.00229245275339153,0.500579195696123,0.688267090856455,0.558825927809859,0.743786292145888,12.9223827070437,5.93679473460561,0.540580489744388,0.00562193887671543,0.393620493865272,0.687540485623505,0.397924940916737,0.690353550317836,10.8733371830396,5.76250225798782,0.470033701614967,0.00820968558004305,0.29244336369003,0.647624039539904,0.262587704063636,0.615192575672098
10,10.9596220685946,6.34462924302361,0.421090508111181,0.00617287786593253,0.267097886178289,0.575083130044072,0.393121168285629,0.701530840301742,11.7444801062012,6.20675319938377,0.471517415563881,0.0100253040999046,0.275269592059534,0.667765239068228,0.27798983096006,0.655002336910858,12.7190376166726,6.30194422079622,0.504526646533743,0.00488183684876591,0.367581166731673,0.641472126335813,0.366013355583065,0.642010050148555
11,11.3728590470971,6.2772366037549,0.448051138437601,0.00347935860453755,0.332438405509123,0.563663871366078,0.50523530162715,0.726381708155049,11.996645248761,6.19844838813314,0.483318189410217,0.00792331239764005,0.308852728912232,0.657783649908202,0.332688978865603,0.668511326374297,12.7444724406854,5.94007674425316,0.53390956181991,0.00370347157010024,0.414631498523689,0.65318762511613,0.431686700054927,0.656520639457626
12,10.3409385520458,6.05273739809908,0.414682007089031,0.00734193046450347,0.24673927854017,0.582624735637893,0.327788416113861,0.670321190836874,10.8879427106772,6.0958099706617,0.440132067862198,0.0107802189266861,0.236629514982001,0.643634620742395,0.209148116323109,0.613195882631767,12.0315789120173,6.08221120204626,0.494479382421598,0.00492648780580425,0.356909052935995,0.632049711907202,0.367281944180716,0.642489895195457
13,13.1261977961561,5.84938654572901,0.554373121861537,0.00241671805147825,0.458019273642803,0.650726970080271,0.556622382565753,0.744900904424955,12.5481333940687,5.93621333884577,0.526924590899574,0.00595247629660382,0.37570609685525,0.678143084943898,0.380820519092591,0.689919079333663,11.8312709741003,5.58784512774561,0.527705422352518,0.00520359724110372,0.386318933742665,0.669091910962371,0.37671429268666,0.66928903623131
14,11.881555393122,5.93060940901859,0.500855804413309,0.0030627593799155,0.392385087471438,0.609326521355179,0.516881741955761,0.734885812060699,12.8340850827626,5.88740052017211,0.541268389432803,0.00664726978708313,0.381468040202714,0.701068738662893,0.396243070604614,0.693239738963877,12.4015657818667,6.23253497610747,0.497439671269531,0.0057411562110961,0.348929652413742,0.64594969012532,0.344414278691015,0.642852204324224
15,11.2100709075829,5.74628159937046,0.487400066712916,0.0056479401630905,0.340100620242373,0.634699513183459,0.414119036574543,0.69912125452585,11.417856383643,5.86604784331547,0.486239128763344,0.0106516713681719,0.283953536770317,0.68852472075637,0.247009071211432,0.656740082640355,12.0262278107943,5.93992802373831,0.506085522643529,0.00526501684742828,0.363867068422283,0.648303976864774,0.370999302112186,0.654083140946463
16,12.08017671802,6.32439922531206,0.476464676557424,0.00492825075951057,0.338869734362096,0.614059618752753,0.428031665152122,0.71453533413362,12.3628488241955,6.13033281074864,0.504132672175777,0.0079266293003348,0.329630697630598,0.678634646720956,0.339539773259418,0.675580150742717,11.8154991912257,6.4277450068858,0.455990398470926,0.00564247471667187,0.308762239236469,0.603218557705383,0.330042400566522,0.619493285330003
17,12.0244011148936,5.84427683436023,0.513965246292273,0.00448961564651122,0.382636241622179,0.645294250962367,0.465309923298572,0.710155981278694,12.242429464515,5.90875606938227,0.517354289317413,0.00735073009901212,0.349310947442869,0.685397631191957,0.372909308763667,0.679881650603877,11.5614936580747,6.2524640467137,0.45919928413861,0.00617351131380263,0.305198761207342,0.613199807069879,0.311553365217219,0.61319343721915
18,11.0093440400052,5.91691698838989,0.462554992659937,0.00484038989331496,0.326192087828165,0.598917897491708,0.437190295422105,0.715108241666226,11.5338240022294,5.85591658732115,0.492283167647673,0.00840225941713673,0.312622042812965,0.671944292482381,0.344237612174953,0.681156837039451,12.1335457233986,6.02354644297017,0.503562554566863,0.00556267136172883,0.357379250789662,0.649745858344065,0.355105573653162,0.645127102911059
19,12.6157189180095,6.06966758939598,0.518880562507518,0.00336475366687948,0.405187828849275,0.632573296165761,0.500001460243582,0.722710996717767,12.3561879920039,5.98601402536126,0.515545245084082,0.00743116555030339,0.346584996569689,0.684505493598475,0.372960482750616,0.668465509309246,12.1796142044946,6.10141946531005,0.499046573818529,0.00553908456625515,0.353173521921595,0.644919625715464,0.348429540068279,0.647289136886593
20,11.6754571496063,5.92002354637925,0.492951456159566,0.00602941221437832,0.340758848051433,0.645144064267699,0.377646397878671,0.693056496745997,11.5103839753383,5.91016182679575,0.486536518724428,0.0113641485120732,0.277595108458343,0.695477928990512,0.253438431107395,0.6513564065923,11.9401341252585,5.67074824070477,0.525068296451654,0.00492380136404475,0.38753548102161,0.662601111881697,0.386606800948603,0.662761729303927
21,11.996615017679,5.85238613630308,0.512163545493575,0.00507992950821244,0.372467242039443,0.651859848947707,0.43568085031492,0.719798449505705,13.0597498743703,5.77292048407663,0.557960869112357,0.00562054317398542,0.41101911651228,0.704902621712435,0.40855206234689,0.700610305569428,12.0173310983259,5.59327156745697,0.534566242563113,0.00516952662571072,0.393643378962737,0.67548910616349,0.387661540794939,0.666958755805591
