"r","gs_nonparam","gs_param","cc_nonparam","cc_param","ipw_nonparam_Yonly","ipw_param_Yonly","ipw_nonparam_Zonly","ipw_param_Zonly","ipw_nonparam_YZ_main","ipw_param_YZ_main","ipw_nonparam_YZ","ipw_param_YZ","smle_param"
1,0.470803736041207,0.472757662459645,0.490417977204082,0.498272275198254,0.473411157547344,0.162184547250923,0.432404046311555,-0.185183239044202,0.464433373785743,-0.33070120385347,0.455318106649143,-0.372646266011655,0.500088437148943
2,0.485241418353769,0.487337296230239,0.511179883853461,0.513621265349276,0.493862293890417,0.122361947423149,0.450093193728618,-0.442498246427961,0.483538371488285,-0.648604396973396,0.481651948891802,-0.66158193771374,0.469956465783409
3,0.501385124343551,0.507470058270571,0.538616520186358,0.544795578713522,0.530132383739798,0.1630212174764,0.480664915815339,-0.399157963991398,0.518878434657231,-0.736669476539484,0.487300302740492,-1.0223854015527,0.489663253372292
4,0.522772345953213,0.518667636032283,0.555449348127296,0.559229141251444,0.558376433642738,0.346042257138061,0.523483507580954,0.0804717727229846,0.547372019908036,-0.0155921879991754,0.514804716077547,-0.147279139084305,0.49320169858421
5,0.514051109399359,0.518206372767189,0.54039660593001,0.54369949303442,0.529572206737158,0.21304975367857,0.492191920054544,-0.144063313582493,0.519335584846646,-0.265088812387577,0.50825214159195,-0.317781154607818,0.507939655837562
6,0.536346266181932,0.532383366070287,0.556098894767962,0.552250797628496,0.55271291380026,0.32876184090972,0.519635882483413,0.0110526484278473,0.541798518588805,-0.0597033927980266,0.533214966914773,-0.0907947794299855,0.523784493814476
7,0.505678299312183,0.507618556531322,0.539378599932327,0.540946925736487,0.541686979668268,0.298484671338563,0.500939798307678,-0.000930715963872064,0.529825834741716,-0.0753578680364326,0.511337753503278,-0.14417981027186,0.502148518380789
8,0.519760346606994,0.516012115480867,0.566118253671671,0.561380123795226,0.550367881519975,0.26715175187008,0.507462142993729,0.122172780814749,0.543939189643557,0.0169215515841316,0.533050783600512,-0.0138054766276605,0.508057912972758
9,0.503280905784472,0.499917550949586,0.530166054871547,0.525158730129923,0.522952387273716,0.224737548367458,0.47682182137057,-0.2732317193455,0.511708394661145,-0.375475983627396,0.515938068161273,-0.355406041552866,0.493596159274702
10,0.462695566628564,0.467628634459435,0.497534144256594,0.505880108712589,0.492128092200646,0.19977861299344,0.449273430531429,-0.327510881197247,0.479771036919052,-0.464962899794875,0.465828234511623,-0.549339726485602,0.503742067391698
