"r","gs_nonparam","gs_param","cc_nonparam","cc_param","ipw_nonparam_Yonly","ipw_param_Yonly","ipw_nonparam_Zonly","ipw_param_Zonly","ipw_nonparam_YZ_main","ipw_param_YZ_main","ipw_nonparam_YZ","ipw_param_YZ","smle_param_delta","smle_param_delta.s","smle_param_R.s","smle_param_var_R.s","smle_param_normci_lb_R.s","smle_param_normci_ub_R.s","smle_param_quantci_lb_R.s","smle_param_quantci_ub_R.s"
1,0.470803736041207,0.472757662459645,0.483479003567726,0.496588324946092,0.456556673679803,0.472999646809515,0.438807868778067,0.496588324946098,0.457632889556593,0.471005658777464,0.459471171877963,0.472997033396818,11.6737936300251,5.82405662811825,0.501099915528856,0.000501623899607993,0.457201870324837,0.544997960732874,0.456762368890611,0.54489988649995
2,0.485241418353769,0.487337296230239,0.51099599166375,0.513228914644119,0.478476199091636,0.48120257398755,0.45446042819785,0.513228914644117,0.478564065235258,0.481023651122588,0.484904698233985,0.487794349696034,11.3960433990619,5.631761500099,0.505814316171996,0.000666107980705296,0.455228543283985,0.556400089060007,0.444470350814957,0.547844645664558
3,0.501385124343551,0.507470058270571,0.529296503855314,0.536128528493561,0.503523049691112,0.504754408923611,0.477509502172572,0.536128528493561,0.502521345127282,0.506605982195909,0.482873898396788,0.487360201706597,11.9950113920719,6.02100485249099,0.498040922539635,0.000481292648958016,0.455041691846086,0.541040153233185,0.458210895537076,0.542157924050781
4,0.522772345953213,0.518667636032283,0.548448246714565,0.552823169832323,0.538807366091187,0.534236533766021,0.52080273313314,0.552823169832318,0.536473834434881,0.537402598040033,0.510817875059079,0.514702644185269,11.6235909521985,6.20113009134027,0.466504790400646,0.0005868897495636,0.419022207678941,0.513987373122351,0.419531815721647,0.508353027205476
5,0.514051109399359,0.518206372767189,0.535755590048443,0.536088714649155,0.513069641498856,0.516310199188572,0.49736262732339,0.536088714649147,0.513740367069071,0.515219548899766,0.511732641193112,0.513177822129886,11.9983440606436,6.09206670377807,0.492257708814922,0.000448760199635787,0.450737145440603,0.533778272189241,0.452278881655443,0.53339851400686
6,0.536346266181932,0.532383366070287,0.543648817313235,0.538100389732399,0.530109573673753,0.522924093162726,0.517460028018287,0.538100389732402,0.529688488482624,0.523548791482091,0.529489309630237,0.523361139327502,12.0959591968355,5.93249298040775,0.509547537002292,0.000435620936964599,0.468639330106325,0.550455743898258,0.466169670888343,0.54348439178341
7,0.505678299312183,0.507618556531322,0.527944878665988,0.525249525280431,0.514417644530843,0.509648814706429,0.498699151222611,0.525249525280437,0.51477738234234,0.509182126367322,0.50726164284642,0.501693271287117,10.6955902407076,5.89355900749963,0.448972999632254,0.000646742784795553,0.399127968966494,0.498818030298015,0.396551263883685,0.494534463283861
8,0.519760346606994,0.516012115480867,0.560804722514105,0.556322065241738,0.52897666647303,0.53188883132344,0.507572411372584,0.556322065241735,0.532959531627576,0.524628527301458,0.531942782046482,0.523621923930934,13.0101457829525,6.00393742544434,0.5385188201879,0.000364401831132634,0.501103768744943,0.575933871630857,0.499073192858289,0.573845754884289
9,0.503280905784472,0.499917550949586,0.505130895301597,0.50254751102948,0.48450950523703,0.48576844737314,0.469466620244166,0.50254751102948,0.486549437091387,0.482678131771662,0.506391969495249,0.502106310283411,11.9272611575121,5.70937514910216,0.521317167981499,0.000455640300426092,0.479479532076528,0.563154803886469,0.479262472965029,0.561084488796239
10,0.462695566628564,0.467628634459435,0.49106773258293,0.499155212534907,0.469703392321871,0.475341387088219,0.449049529522302,0.499155212534905,0.468938873597561,0.476546466359952,0.464605837539675,0.472139267252486,12.8400846211362,6.00928647103527,0.531990119353006,0.000367724281377421,0.49440488821976,0.569575350486251,0.496790554283975,0.570482335229188
